date,hospitalized_current,icu_current
2020-06-23 00:00:00,21.0,2.0
2020-06-24 00:00:00,22.0,2.0
2020-06-25 00:00:00,22.0,2.0
2020-06-26 00:00:00,24.0,1.0
2020-06-27 00:00:00,,
2020-06-28 00:00:00,24.0,2.0
2020-06-29 00:00:00,23.0,1.0
2020-06-30 00:00:00,23.0,1.0
2020-07-01 00:00:00,,
2020-07-02 00:00:00,24.0,0.0
2020-07-03 00:00:00,20.0,0.0
2020-07-04 00:00:00,,
2020-07-05 00:00:00,,
2020-07-06 00:00:00,19.0,1.0
2020-07-07 00:00:00,19.0,1.0
2020-07-08 00:00:00,19.0,2.0
2020-07-09 00:00:00,19.0,2.0
2020-07-10 00:00:00,6.0,0.0
2020-07-11 00:00:00,,
2020-07-12 00:00:00,,
2020-07-13 00:00:00,6.0,0.0
2020-07-14 00:00:00,8.0,1.0
2020-07-15 00:00:00,8.0,1.0
2020-07-16 00:00:00,7.0,0.0
2020-07-17 00:00:00,,
2020-07-18 00:00:00,,
2020-07-19 00:00:00,6.0,1.0
2020-07-20 00:00:00,6.0,1.0
2020-07-21 00:00:00,6.0,1.0
2020-07-22 00:00:00,6.0,1.0
2020-07-23 00:00:00,4.0,0.0
2020-07-24 00:00:00,4.0,0.0
2020-07-25 00:00:00,,
2020-07-26 00:00:00,4.0,0.0
2020-07-27 00:00:00,4.0,0.0
2020-07-28 00:00:00,5.0,0.0
2020-07-29 00:00:00,5.0,0.0
2020-07-30 00:00:00,4.0,0.0
2020-07-31 00:00:00,8.0,0.0
2020-08-01 00:00:00,,
2020-08-02 00:00:00,,
2020-08-03 00:00:00,8.0,0.0
2020-08-04 00:00:00,6.0,1.0
2020-08-05 00:00:00,6.0,0.0
2020-08-06 00:00:00,6.0,0.0
2020-08-07 00:00:00,3.0,0.0
2020-08-08 00:00:00,,
2020-08-09 00:00:00,,
2020-08-10 00:00:00,5.0,1.0
2020-08-11 00:00:00,5.0,1.0
2020-08-12 00:00:00,7.0,1.0
2020-08-13 00:00:00,7.0,1.0
2020-0-14,6.0,0.0
2020-08-15 00:00:00,,
2020-08-16 00:00:00,,
2020-08-17 00:00:00,,
2020-08-18 00:00:00,5.0,0.0
2020-08-19 00:00:00,8.0,0.0
2020-08-20 00:00:00,8.0,0.0
2020-08-21 00:00:00,11.0,0.0
2020-08-22 00:00:00,,
2920-08-23 00:00:00,,
2020-08-24 00:00:00,11.0,1.0
2020-08-25 00:00:00,12.0,1.0
2020-08-26 00:00:00,12.0,1.0
2020-08-27 00:00:00,5.0,1.0
2020-08-28 00:00:00,11.0,1.0
2020-08-29 00:00:00,,
2020-08-30 00:00:00,,
2020-08-31 00:00:00,10.0,1.0
2020-09-01 00:00:00,10.0,1.0
2020-09-02 00:00:00,9.0,2.0
2020-09-03 00:00:00,9.0,3.0
2020-09-04 00:00:00,14.0,2.0
2020-09-05 00:00:00,,
2020-09-06 00:00:00,,
2020-09-07 00:00:00,,
2020-09-08 00:00:00,16.0,1.0
2020-09-09 00:00:00,6.0,1.0
2020-09-10 00:00:00,6.0,1.0
2020-09-11 00:00:00,8.0,1.0
2020-09-12 00:00:00,,
2020-09-13 00:00:00,,
2020-09-14 00:00:00,10.0,3.0
2020-09-15 00:00:00,10.0,3.0
2020-09-16 00:00:00,14.0,3.0
2020-09-17 00:00:00,14.0,3.0
2020-09-18 00:00:00,16.0,3.0
2020-09-19 00:00:00,,
2020-09-20 00:00:00,,
2020-09-21 00:00:00,19.0,3.0
2020-09-22 00:00:00,19.0,3.0
2020-09-23 00:00:00,22.0,4.0
2020-09-24 00:00:00,22.0,4.0
2020-09-25 00:00:00,21.0,2.0
2020-09-26 00:00:00,,
2020-09-27 00:00:00,,
2020-09-28 00:00:00,22.0,4.0
2020-09-29 00:00:00,22.0,4.0
2020-09-30 00:00:00,19.0,4.0
2020-10-01 00:00:00,19.0,4.0
2020-10-02 00:00:00,21.0,4.0
2020-10-03 00:00:00,,
2020-10-04 00:00:00,,
2020-10-05 00:00:00,28.0,8.0
2020-10-06 00:00:00,28.0,8.0
2020-10-07 00:00:00,31.0,5.0
2020-10-08 00:00:00,31.0,5.0
2020-10-09 00:00:00,31.0,5.0
2020-10-10 00:00:00,,
2020-10-11 00:00:00,,
2020-10-12 00:00:00,46.0,10.0
2020-10-13 00:00:00,46.0,10.0
2020-10-14 00:00:00,48.0,8.0
2020-10-15 00:00:00,48.0,8.0
2020-10-16 00:00:00,56.0,6.0
2020-10-17 00:00:00,,
2020-10-18 00:00:00,,
2020-10-19 00:00:00,62.0,7.0
2020-10-20 00:00:00,62.0,7.0
2020-10-21 00:00:00,65.0,7.0
2020-10-22 00:00:00,65.0,7.0
