country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CV,Cape Verde,,,,,,2020-02-15,1,-3,-3,-4,0,1
CV,Cape Verde,,,,,,2020-02-16,1,-5,-12,-12,0,1
CV,Cape Verde,,,,,,2020-02-17,-2,-5,-7,1,0,-1
CV,Cape Verde,,,,,,2020-02-18,-1,-6,-6,-9,1,-1
CV,Cape Verde,,,,,,2020-02-19,-3,-5,2,-8,0,1
CV,Cape Verde,,,,,,2020-02-20,1,-2,-3,-4,0,1
CV,Cape Verde,,,,,,2020-02-21,-2,0,1,-6,-3,0
CV,Cape Verde,,,,,,2020-02-22,1,2,-1,-4,-8,0
CV,Cape Verde,,,,,,2020-02-23,4,5,-2,-8,1,1
CV,Cape Verde,,,,,,2020-02-24,7,6,3,-5,-12,0
CV,Cape Verde,,,,,,2020-02-25,5,5,1,-16,-25,0
CV,Cape Verde,,,,,,2020-02-26,-21,-28,-10,-13,-56,9
CV,Cape Verde,,,,,,2020-02-27,-2,-4,-3,3,-2,0
CV,Cape Verde,,,,,,2020-02-28,-3,-3,-4,-14,0,1
CV,Cape Verde,,,,,,2020-02-29,2,-2,-7,-7,3,1
CV,Cape Verde,,,,,,2020-03-01,-1,-4,-4,-9,-3,2
CV,Cape Verde,,,,,,2020-03-02,4,3,-6,-2,5,-1
CV,Cape Verde,,,,,,2020-03-03,-2,-1,-9,-7,2,0
CV,Cape Verde,,,,,,2020-03-04,0,-1,0,-13,3,0
CV,Cape Verde,,,,,,2020-03-05,2,-2,-8,-6,3,0
CV,Cape Verde,,,,,,2020-03-06,-1,-4,-9,-11,2,0
CV,Cape Verde,,,,,,2020-03-07,2,-2,-7,-8,3,0
CV,Cape Verde,,,,,,2020-03-08,6,-6,-11,-14,2,1
CV,Cape Verde,,,,,,2020-03-09,3,-3,-7,-7,5,-1
CV,Cape Verde,,,,,,2020-03-10,-2,-6,-10,-11,3,0
CV,Cape Verde,,,,,,2020-03-11,-4,-5,-5,-17,4,0
CV,Cape Verde,,,,,,2020-03-12,-3,0,-8,-10,3,1
CV,Cape Verde,,,,,,2020-03-13,-7,0,-10,-17,2,0
CV,Cape Verde,,,,,,2020-03-14,-6,-1,-11,-21,0,1
CV,Cape Verde,,,,,,2020-03-15,-10,-12,-16,-22,-6,2
CV,Cape Verde,,,,,,2020-03-16,-6,1,-18,-6,6,0
CV,Cape Verde,,,,,,2020-03-17,-12,0,-24,-18,2,1
CV,Cape Verde,,,,,,2020-03-18,-13,1,-19,-24,2,2
CV,Cape Verde,,,,,,2020-03-19,-17,-1,-24,-35,0,3
CV,Cape Verde,,,,,,2020-03-20,-28,-3,-33,-42,-6,5
CV,Cape Verde,,,,,,2020-03-21,-39,-17,-43,-56,-18,10
CV,Cape Verde,,,,,,2020-03-22,-45,-35,-46,-54,-28,
CV,Cape Verde,,,,,,2020-03-23,-34,-17,-40,-46,-28,13
CV,Cape Verde,,,,,,2020-03-24,-38,-26,-43,-47,-33,14
CV,Cape Verde,,,,,,2020-03-25,-44,-27,-42,-64,-35,16
CV,Cape Verde,,,,,,2020-03-26,-42,-23,-44,-54,-38,16
CV,Cape Verde,,,,,,2020-03-27,-51,-37,-51,-75,-49,23
CV,Cape Verde,,,,,,2020-03-28,-54,-40,-51,-77,-45,19
CV,Cape Verde,,,,,,2020-03-29,-60,-48,-57,-88,-40,
CV,Cape Verde,,,,,,2020-03-30,-53,-42,-47,-76,-55,23
CV,Cape Verde,,,,,,2020-03-31,-56,-44,-47,-80,-60,26
CV,Cape Verde,,,,,,2020-04-01,-58,-46,-44,-83,-60,28
CV,Cape Verde,,,,,,2020-04-02,-59,-47,-48,-81,-61,29
CV,Cape Verde,,,,,,2020-04-03,-61,-47,-50,-83,-60,30
CV,Cape Verde,,,,,,2020-04-04,-63,-50,-51,-86,-51,
CV,Cape Verde,,,,,,2020-04-05,-63,-48,-55,-87,-34,
CV,Cape Verde,,,,,,2020-04-06,-59,-46,-49,-84,-60,28
CV,Cape Verde,,,,,,2020-04-07,-62,-49,-52,-85,-63,27
CV,Cape Verde,,,,,,2020-04-08,-63,-49,-50,-82,-62,28
CV,Cape Verde,,,,,,2020-04-09,-64,-48,-51,-80,-64,28
CV,Cape Verde,,,,,,2020-04-10,-69,-61,-57,-88,-74,
CV,Cape Verde,,,,,,2020-04-11,-63,-47,-55,-84,-53,
CV,Cape Verde,,,,,,2020-04-12,-64,-52,-59,-88,-38,
CV,Cape Verde,,,,,,2020-04-13,-61,-48,-53,-84,-61,29
CV,Cape Verde,,,,,,2020-04-14,-64,-51,-56,-84,-62,29
CV,Cape Verde,,,,,,2020-04-15,-63,-49,-50,-86,-62,28
CV,Cape Verde,,,,,,2020-04-16,-64,-48,-54,-84,-63,30
CV,Cape Verde,,,,,,2020-04-17,-64,-47,-55,-87,-62,30
CV,Cape Verde,,,,,,2020-04-18,-66,-52,-58,-81,-54,
CV,Cape Verde,,,,,,2020-04-19,-67,-52,-60,-86,-40,
CV,Cape Verde,,,,,,2020-04-20,-63,-47,-57,-77,-60,29
CV,Cape Verde,,,,,,2020-04-21,-65,-50,-58,-78,-63,29
CV,Cape Verde,,,,,,2020-04-22,-65,-51,-55,-81,-63,30
CV,Cape Verde,,,,,,2020-04-23,-65,-52,-58,-78,-63,30
CV,Cape Verde,,,,,,2020-04-24,-66,-51,-56,-82,-63,31
CV,Cape Verde,,,,,,2020-04-25,-67,-52,-59,-80,-54,
CV,Cape Verde,,,,,,2020-04-26,-67,-54,-60,-88,-40,
CV,Cape Verde,,,,,,2020-04-27,-57,-45,-51,-74,-57,27
CV,Cape Verde,,,,,,2020-04-28,-60,-45,-51,-77,-58,26
CV,Cape Verde,,,,,,2020-04-29,-59,-47,-48,-78,-60,28
CV,Cape Verde,,,,,,2020-04-30,-55,-40,-45,-71,-56,26
CV,Cape Verde,,,,,,2020-05-01,-67,-62,-56,-85,-73,
CV,Cape Verde,,,,,,2020-05-02,-61,-45,-52,-78,-47,22
CV,Cape Verde,,,,,,2020-05-03,-60,-50,-56,-80,-36,
CV,Cape Verde,,,,,,2020-05-04,-50,-34,-48,-68,-50,23
CV,Cape Verde,,,,,,2020-05-05,-54,-39,-52,-68,-52,24
CV,Cape Verde,,,,,,2020-05-06,-51,-36,-44,-71,-50,23
CV,Cape Verde,,,,,,2020-05-07,-51,-38,-45,-67,-52,23
CV,Cape Verde,,,,,,2020-05-08,-53,-36,-48,-71,-50,23
CV,Cape Verde,,,,,,2020-05-09,-53,-39,-50,-74,-45,18
CV,Cape Verde,,,,,,2020-05-10,-55,-45,-53,-81,-32,
CV,Cape Verde,,,,,,2020-05-11,-50,-33,-45,-65,-49,22
CV,Cape Verde,,,,,,2020-05-12,-52,-37,-47,-68,-51,21
CV,Cape Verde,,,,,,2020-05-13,-51,-37,-44,-69,-52,21
CV,Cape Verde,,,,,,2020-05-14,-46,-33,-44,-65,-49,20
CV,Cape Verde,,,,,,2020-05-15,-49,-33,-46,-66,-47,22
CV,Cape Verde,,,,,,2020-05-16,-49,-36,-50,-64,-38,16
CV,Cape Verde,,,,,,2020-05-17,-52,-43,-49,-77,-25,
CV,Cape Verde,,,,,,2020-05-18,-39,-22,-42,-52,-36,16
CV,Cape Verde,,,,,,2020-05-19,-45,-36,-44,-60,-47,22
CV,Cape Verde,,,,,,2020-05-20,-45,-29,-42,-63,-40,18
CV,Cape Verde,,,,,,2020-05-21,-45,-30,-44,-64,-42,19
CV,Cape Verde,,,,,,2020-05-22,-49,-29,-47,-67,-40,19
CV,Cape Verde,,,,,,2020-05-23,-49,-33,-49,-71,-35,14
CV,Cape Verde,,,,,,2020-05-24,-49,-40,-47,-78,-28,
CV,Cape Verde,,,,,,2020-05-25,-43,-24,-44,-58,-37,17
CV,Cape Verde,,,,,,2020-05-26,-46,-29,-49,-62,-40,18
CV,Cape Verde,,,,,,2020-05-27,-45,-26,-43,-65,-39,16
CV,Cape Verde,,,,,,2020-05-28,-43,-25,-42,-61,-39,17
CV,Cape Verde,,,,,,2020-05-29,-44,-22,-45,-62,-36,16
CV,Cape Verde,,,,,,2020-05-30,-43,-23,-44,-70,-30,12
CV,Cape Verde,,,,,,2020-05-31,-45,-31,-42,-77,-21,
CV,Cape Verde,,,,,,2020-06-01,-47,-42,-44,-74,-62,21
CV,Cape Verde,,,,,,2020-06-02,-39,-17,-44,-61,-30,14
CV,Cape Verde,,,,,,2020-06-03,-39,-17,-40,-64,-32,15
CV,Cape Verde,,,,,,2020-06-04,-39,-20,-43,-64,-32,15
CV,Cape Verde,,,,,,2020-06-05,-41,-20,-43,-67,-31,15
CV,Cape Verde,,,,,,2020-06-06,-43,-25,-45,-71,-28,12
CV,Cape Verde,,,,,,2020-06-07,-45,-34,-45,-79,-20,
CV,Cape Verde,,,,,,2020-06-08,-39,-16,-41,-62,-28,13
CV,Cape Verde,,,,,,2020-06-09,-41,-23,-47,-64,-31,15
CV,Cape Verde,,,,,,2020-06-10,-41,-23,-41,-70,-31,15
CV,Cape Verde,,,,,,2020-06-11,-39,-20,-43,-67,-32,15
CV,Cape Verde,,,,,,2020-06-12,-41,-22,-45,-67,-31,14
CV,Cape Verde,,,,,,2020-06-13,-43,-22,-46,-71,-27,12
CV,Cape Verde,,,,,,2020-06-14,-47,-33,-42,-81,-17,
CV,Cape Verde,,,,,,2020-06-15,-40,-20,-43,-64,-28,13
CV,Cape Verde,,,,,,2020-06-16,-41,-21,-47,-64,-31,14
CV,Cape Verde,,,,,,2020-06-17,-41,-23,-44,-69,-32,14
CV,Cape Verde,,,,,,2020-06-18,-45,-25,-47,-68,-33,16
CV,Cape Verde,,,,,,2020-06-19,-43,-23,-48,-70,-32,15
CV,Cape Verde,,,,,,2020-06-20,-42,-26,-48,-70,-28,12
CV,Cape Verde,,,,,,2020-06-21,-47,-32,-47,-82,-19,
CV,Cape Verde,,,,,,2020-06-22,-40,-21,-46,-62,-30,14
CV,Cape Verde,,,,,,2020-06-23,-41,-24,-47,-66,-32,14
CV,Cape Verde,,,,,,2020-06-24,-40,-23,-45,-66,-33,14
CV,Cape Verde,,,,,,2020-06-25,-39,-20,-47,-64,-31,14
CV,Cape Verde,,,,,,2020-06-26,-40,-19,-45,-67,-31,14
CV,Cape Verde,,,,,,2020-06-27,-41,-21,-47,-71,-27,11
CV,Cape Verde,,,,,,2020-06-28,-46,-29,-47,-79,-24,
CV,Cape Verde,,,,,,2020-06-29,-39,-19,-45,-58,-28,13
CV,Cape Verde,,,,,,2020-06-30,-40,-20,-47,-59,-30,13
CV,Cape Verde,,,,,,2020-07-01,-39,-20,-43,-62,-29,13
CV,Cape Verde,,,,,,2020-07-02,-38,-21,-43,-63,-29,15
CV,Cape Verde,,,,,,2020-07-03,-37,-20,-44,-64,-29,14
CV,Cape Verde,,,,,,2020-07-04,-39,-23,-45,-71,-27,11
CV,Cape Verde,,,,,,2020-07-05,-44,-33,-45,-83,-22,
CV,Cape Verde,,,,,,2020-07-06,-37,-19,-44,-60,-27,13
CV,Cape Verde,,,,,,2020-07-07,-39,-23,-45,-62,-30,13
CV,Cape Verde,,,,,,2020-07-08,-41,-26,-43,-66,-31,14
CV,Cape Verde,,,,,,2020-07-09,-41,-27,-46,-60,-32,16
CV,Cape Verde,,,,,,2020-07-10,-41,-24,-45,-67,-31,15
CV,Cape Verde,,,,,,2020-07-11,-49,-32,-55,-74,-38,5
CV,Cape Verde,,,,,,2020-07-12,-69,-62,-72,-89,-53,
CV,Cape Verde,,,,,,2020-07-13,-44,-29,-45,-60,-31,6
CV,Cape Verde,,,,,,2020-07-14,-42,-27,-45,-62,-31,15
CV,Cape Verde,,,,,,2020-07-15,-39,-21,-40,-54,-29,14
CV,Cape Verde,,,,,,2020-07-16,-35,-17,-39,-57,-27,14
CV,Cape Verde,,,,,,2020-07-17,-39,-20,-43,-57,-29,14
CV,Cape Verde,,,,,,2020-07-18,-38,-21,-42,-65,-25,11
CV,Cape Verde,,,,,,2020-07-19,-45,-31,-42,-73,-21,
CV,Cape Verde,,,,,,2020-07-20,-33,-11,-37,-49,-25,14
CV,Cape Verde,,,,,,2020-07-21,-36,-17,-39,-54,-29,14
CV,Cape Verde,,,,,,2020-07-22,-38,-18,-41,-58,-30,13
CV,Cape Verde,,,,,,2020-07-23,-40,-24,-46,-63,-33,14
CV,Cape Verde,,,,,,2020-07-24,-38,-20,-43,-62,-32,12
CV,Cape Verde,,,,,,2020-07-25,-39,-22,-44,-70,-30,10
CV,Cape Verde,,,,,,2020-07-26,-43,-33,-46,-74,-26,
CV,Cape Verde,,,,,,2020-07-27,-38,-17,-43,-55,-30,13
CV,Cape Verde,,,,,,2020-07-28,-39,-21,-46,-59,-32,12
CV,Cape Verde,,,,,,2020-07-29,-39,-23,-41,-58,-34,14
CV,Cape Verde,,,,,,2020-07-30,-39,-19,-42,-61,-34,13
CV,Cape Verde,,,,,,2020-07-31,-39,-19,-40,-61,-34,13
CV,Cape Verde,,,,,,2020-08-01,-38,-22,-42,-69,-31,10
CV,Cape Verde,,,,,,2020-08-02,-40,-27,-39,-70,-24,
CV,Cape Verde,,,,,,2020-08-03,-36,-15,-40,-56,-31,11
CV,Cape Verde,,,,,,2020-08-04,-36,-17,-40,-59,-34,12
CV,Cape Verde,,,,,,2020-08-05,-37,-20,-38,-64,-33,13
CV,Cape Verde,,,,,,2020-08-06,-38,-21,-44,-62,-34,12
CV,Cape Verde,,,,,,2020-08-07,-41,-24,-45,-59,-34,12
CV,Cape Verde,,,,,,2020-08-08,-41,-24,-44,-66,-33,10
CV,Cape Verde,,,,,,2020-08-09,-43,-32,-41,-71,-27,
CV,Cape Verde,,,,,,2020-08-10,-39,-20,-39,-54,-33,11
CV,Cape Verde,,,,,,2020-08-11,-39,-25,-43,-61,-36,12
CV,Cape Verde,,,,,,2020-08-12,-39,-24,-41,-61,-36,13
CV,Cape Verde,,,,,,2020-08-13,-38,-19,-39,-60,-36,13
CV,Cape Verde,,,,,,2020-08-14,-41,-23,-42,-58,-37,12
CV,Cape Verde,,,,,,2020-08-15,-44,-35,-42,-71,-45,11
CV,Cape Verde,,,,,,2020-08-16,-43,-33,-41,-68,-28,
CV,Cape Verde,,,,,,2020-08-17,-37,-18,-41,-57,-35,11
CV,Cape Verde,,,,,,2020-08-18,-39,-24,-41,-61,-37,11
CV,Cape Verde,,,,,,2020-08-19,-38,-22,-37,-62,-36,12
CV,Cape Verde,,,,,,2020-08-20,-37,-24,-41,-63,-37,12
CV,Cape Verde,,,,,,2020-08-21,-37,-25,-41,-59,-37,12
CV,Cape Verde,,,,,,2020-08-22,-39,-29,-39,-69,-35,10
CV,Cape Verde,,,,,,2020-08-23,-41,-34,-41,-71,-29,
CV,Cape Verde,,,,,,2020-08-24,-35,-21,-39,-52,-34,11
CV,Cape Verde,,,,,,2020-08-25,-35,-23,-39,-56,-38,12
CV,Cape Verde,,,,,,2020-08-26,-34,-22,-38,-58,-37,12
CV,Cape Verde,,,,,,2020-08-27,-32,-21,-39,-61,-38,12
CV,Cape Verde,,,,,,2020-08-28,-33,-23,-38,-54,-38,12
CV,Cape Verde,Praia,,,CV-PR,,2020-02-15,-4,-3,,,-1,
CV,Cape Verde,Praia,,,CV-PR,,2020-02-16,1,-5,,,0,
CV,Cape Verde,Praia,,,CV-PR,,2020-02-17,-6,-10,,,0,-1
CV,Cape Verde,Praia,,,CV-PR,,2020-02-18,-2,-12,,,-2,-1
CV,Cape Verde,Praia,,,CV-PR,,2020-02-19,-4,-7,,,-2,1
CV,Cape Verde,Praia,,,CV-PR,,2020-02-20,0,-4,,,0,3
CV,Cape Verde,Praia,,,CV-PR,,2020-02-21,-8,-9,,-5,-4,2
CV,Cape Verde,Praia,,,CV-PR,,2020-02-22,-9,-3,,,-11,
CV,Cape Verde,Praia,,,CV-PR,,2020-02-23,-5,0,,,-1,
CV,Cape Verde,Praia,,,CV-PR,,2020-02-24,-4,-3,,,-11,2
CV,Cape Verde,Praia,,,CV-PR,,2020-02-25,2,4,,,-23,
CV,Cape Verde,Praia,,,CV-PR,,2020-02-26,-39,-47,,,-74,
CV,Cape Verde,Praia,,,CV-PR,,2020-02-27,-10,-5,,,-1,2
CV,Cape Verde,Praia,,,CV-PR,,2020-02-28,-8,-3,,-20,-1,3
CV,Cape Verde,Praia,,,CV-PR,,2020-02-29,-2,-4,,,4,
CV,Cape Verde,Praia,,,CV-PR,,2020-03-01,-5,-6,,,-7,
CV,Cape Verde,Praia,,,CV-PR,,2020-03-02,2,-2,,,5,0
CV,Cape Verde,Praia,,,CV-PR,,2020-03-03,-1,-6,,,1,2
CV,Cape Verde,Praia,,,CV-PR,,2020-03-04,0,1,,,1,0
CV,Cape Verde,Praia,,,CV-PR,,2020-03-05,-1,-3,,,1,0
CV,Cape Verde,Praia,,,CV-PR,,2020-03-06,-2,-7,,-11,1,0
CV,Cape Verde,Praia,,,CV-PR,,2020-03-07,2,-4,,,4,
CV,Cape Verde,Praia,,,CV-PR,,2020-03-08,9,-3,,,1,
CV,Cape Verde,Praia,,,CV-PR,,2020-03-09,2,-6,,,6,-1
CV,Cape Verde,Praia,,,CV-PR,,2020-03-10,-3,-11,,,4,0
CV,Cape Verde,Praia,,,CV-PR,,2020-03-11,-3,-4,,,4,2
CV,Cape Verde,Praia,,,CV-PR,,2020-03-12,-7,7,,,3,1
CV,Cape Verde,Praia,,,CV-PR,,2020-03-13,-12,8,,-19,2,1
CV,Cape Verde,Praia,,,CV-PR,,2020-03-14,-12,3,,,0,
CV,Cape Verde,Praia,,,CV-PR,,2020-03-15,-11,-4,,,-7,
CV,Cape Verde,Praia,,,CV-PR,,2020-03-16,-10,8,,,6,1
CV,Cape Verde,Praia,,,CV-PR,,2020-03-17,-14,5,,,4,1
CV,Cape Verde,Praia,,,CV-PR,,2020-03-18,-15,13,,,3,2
CV,Cape Verde,Praia,,,CV-PR,,2020-03-19,-20,10,,,3,3
CV,Cape Verde,Praia,,,CV-PR,,2020-03-20,-34,6,,-51,-5,7
CV,Cape Verde,Praia,,,CV-PR,,2020-03-21,-40,-11,,,-15,
CV,Cape Verde,Praia,,,CV-PR,,2020-03-22,-50,-30,,,-28,
CV,Cape Verde,Praia,,,CV-PR,,2020-03-23,-37,-12,,-55,-25,
CV,Cape Verde,Praia,,,CV-PR,,2020-03-24,-40,-20,,,-30,
CV,Cape Verde,Praia,,,CV-PR,,2020-03-25,-45,-18,,,-33,
CV,Cape Verde,Praia,,,CV-PR,,2020-03-26,-45,-14,,,-35,
CV,Cape Verde,Praia,,,CV-PR,,2020-03-27,-60,-38,,-71,-51,
CV,Cape Verde,Praia,,,CV-PR,,2020-03-28,-62,-49,,,-47,
CV,Cape Verde,Praia,,,CV-PR,,2020-03-29,-70,-55,,,-38,
CV,Cape Verde,Praia,,,CV-PR,,2020-03-30,-72,-47,,-80,-61,
CV,Cape Verde,Praia,,,CV-PR,,2020-03-31,-75,-55,,-73,-68,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-01,-77,-54,,,-67,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-02,-78,-55,,-85,-67,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-03,-77,-56,,-84,-67,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-04,-78,-57,,,-52,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-05,-76,-54,,,-29,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-06,-74,-51,,-78,-67,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-07,-76,-53,,-75,-69,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-08,-73,-52,,-83,-68,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-09,-78,-50,,-74,-70,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-10,-83,-68,-81,,-80,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-11,-73,-53,,,-57,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-12,-76,-55,,,-35,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-13,-75,-51,,-80,-68,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-14,-78,-54,,-80,-69,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-15,-78,-52,,-80,-68,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-16,-78,-51,,-77,-68,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-17,-80,-53,-68,,-68,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-18,-80,-58,,,-57,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-19,-80,-58,,,-33,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-20,-79,-51,,,-67,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-21,-81,-56,,,-70,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-22,-79,-59,,,-69,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-23,-79,-57,,,-70,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-24,-81,-58,-67,,-70,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-25,-78,-60,,,-60,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-26,,-61,,,-38,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-27,-74,-56,,,-68,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-28,-79,-57,-72,,-68,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-29,-80,-60,,,-76,
CV,Cape Verde,Praia,,,CV-PR,,2020-04-30,-76,-49,,-78,-67,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-01,-84,-71,-75,,-80,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-02,-76,-55,,,-52,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-03,-79,-63,,-83,-34,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-04,-75,-52,,-79,-64,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-05,-77,-56,,,-66,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-06,-76,-51,,-81,-66,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-07,-77,-56,,-83,-66,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-08,-78,-56,-80,-81,-66,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-09,-76,-59,,,-53,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-10,-75,,,-78,-32,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-11,-76,-54,,,-64,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-12,-74,-56,-75,-78,-66,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-13,-73,-55,,,-65,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-14,-74,-51,,-78,-64,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-15,-71,-49,-69,-74,-61,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-16,-73,-51,,,-46,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-17,-75,-65,,,-20,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-18,-62,-37,,-69,-50,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-19,-77,-63,,,-72,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-20,-64,-35,,-71,-51,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-21,-71,-42,,-72,-52,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-22,-74,-45,-68,-77,-50,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-23,-69,-44,,-77,-38,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-24,-71,,,,-25,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-25,-64,-38,,-73,-45,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-26,-72,-41,,-71,-50,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-27,-69,-36,,-69,-47,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-28,-65,-37,,-65,-47,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-29,-65,-37,,-63,-46,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-30,-59,-31,,,-31,
CV,Cape Verde,Praia,,,CV-PR,,2020-05-31,-60,-42,,,-17,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-01,-66,-51,,-74,-70,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-02,-54,-24,,-70,-36,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-03,-52,-19,,-60,-37,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-04,-52,-25,,-64,-36,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-05,-56,-26,,-69,-37,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-06,-55,-28,,,-29,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-07,-56,-41,,,-15,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-08,-49,-19,,-70,-32,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-09,-53,-28,,-72,-34,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-10,-53,-26,,-68,-35,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-11,-53,-23,,-75,-35,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-12,-53,-24,,-71,-34,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-13,-56,-24,,,-26,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-14,,-37,,,-11,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-15,-50,-20,,-66,-31,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-16,-49,-22,,-67,-33,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-17,-49,-19,,-65,-34,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-18,-54,-26,,-68,-34,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-19,-53,-25,,-74,-33,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-20,-52,-25,,,-27,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-21,-54,-34,,,-9,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-22,-48,-21,,-67,-33,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-23,-48,-25,,-63,-34,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-24,-46,-17,,-68,-33,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-25,-47,-16,,-67,-32,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-26,-47,-14,,-73,-33,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-27,-48,-19,,,-24,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-28,-49,-31,,,-14,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-29,-44,-18,,-66,-28,
CV,Cape Verde,Praia,,,CV-PR,,2020-06-30,-47,-22,,-64,-32,
CV,Cape Verde,Praia,,,CV-PR,,2020-07-01,-47,-19,,,-31,
CV,Cape Verde,Praia,,,CV-PR,,2020-07-02,-47,-19,,-63,-31,
CV,Cape Verde,Praia,,,CV-PR,,2020-07-03,-46,-21,,-66,-30,
CV,Cape Verde,Praia,,,CV-PR,,2020-07-04,-46,-25,,,-22,
CV,Cape Verde,Praia,,,CV-PR,,2020-07-05,-52,-33,,-77,-11,
CV,Cape Verde,Praia,,,CV-PR,,2020-07-06,-46,-18,,-64,-27,
CV,Cape Verde,Praia,,,CV-PR,,2020-07-07,-46,-26,,-64,-31,
CV,Cape Verde,Praia,,,CV-PR,,2020-07-08,-52,-25,,-59,-32,
CV,Cape Verde,Praia,,,CV-PR,,2020-07-09,-50,-27,,-63,-32,
