country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
JO,Jordan,,,,,,2020-02-15,4,4,28,2,0,-1
JO,Jordan,,,,,,2020-02-16,-1,2,10,-1,4,-1
JO,Jordan,,,,,,2020-02-17,-3,0,11,-2,4,0
JO,Jordan,,,,,,2020-02-18,-4,0,9,0,4,0
JO,Jordan,,,,,,2020-02-19,-5,-2,4,-4,4,0
JO,Jordan,,,,,,2020-02-20,-4,-2,3,-2,7,0
JO,Jordan,,,,,,2020-02-21,3,4,29,-5,1,-1
JO,Jordan,,,,,,2020-02-22,-7,-4,2,-4,-2,2
JO,Jordan,,,,,,2020-02-23,-2,1,8,3,5,-1
JO,Jordan,,,,,,2020-02-24,-1,3,8,-1,4,-1
JO,Jordan,,,,,,2020-02-25,-6,-1,-3,0,3,0
JO,Jordan,,,,,,2020-02-26,3,6,10,0,5,-1
JO,Jordan,,,,,,2020-02-27,6,7,19,-1,8,-2
JO,Jordan,,,,,,2020-02-28,15,15,79,-4,1,-4
JO,Jordan,,,,,,2020-02-29,2,3,12,-3,-1,-1
JO,Jordan,,,,,,2020-03-01,-2,1,4,-4,4,0
JO,Jordan,,,,,,2020-03-02,-2,6,4,-2,5,-1
JO,Jordan,,,,,,2020-03-03,0,7,11,-3,6,-1
JO,Jordan,,,,,,2020-03-04,3,8,21,-7,6,-2
JO,Jordan,,,,,,2020-03-05,4,7,26,-5,9,-3
JO,Jordan,,,,,,2020-03-06,-4,0,6,-16,-1,1
JO,Jordan,,,,,,2020-03-07,2,5,12,-14,-1,1
JO,Jordan,,,,,,2020-03-08,1,4,16,-13,5,-2
JO,Jordan,,,,,,2020-03-09,-1,3,10,-9,5,-1
JO,Jordan,,,,,,2020-03-10,-1,4,17,-10,5,-1
JO,Jordan,,,,,,2020-03-11,3,8,21,-15,5,-2
JO,Jordan,,,,,,2020-03-12,-12,-3,-10,-16,4,2
JO,Jordan,,,,,,2020-03-13,-14,-7,-18,-32,-4,4
JO,Jordan,,,,,,2020-03-14,-8,3,-9,-26,-5,3
JO,Jordan,,,,,,2020-03-15,-10,8,-4,-14,-8,4
JO,Jordan,,,,,,2020-03-16,-15,6,-13,-12,-15,5
JO,Jordan,,,,,,2020-03-17,-9,30,-19,-57,-24,7
JO,Jordan,,,,,,2020-03-18,-51,-24,-48,-84,-61,22
JO,Jordan,,,,,,2020-03-19,-60,-33,-56,-87,-63,27
JO,Jordan,,,,,,2020-03-20,-29,20,-42,-85,-32,11
JO,Jordan,,,,,,2020-03-21,-87,-82,-75,-94,-78,28
JO,Jordan,,,,,,2020-03-22,-91,-86,-74,-91,-82,33
JO,Jordan,,,,,,2020-03-23,-91,-84,-74,-91,-82,32
JO,Jordan,,,,,,2020-03-24,-82,-67,-66,-88,-79,30
JO,Jordan,,,,,,2020-03-25,-64,-29,-52,-87,-73,24
JO,Jordan,,,,,,2020-03-26,-66,-33,-57,-88,-72,29
JO,Jordan,,,,,,2020-03-27,-70,-40,-58,-89,-44,16
JO,Jordan,,,,,,2020-03-28,-76,-55,-61,-90,-67,24
JO,Jordan,,,,,,2020-03-29,-74,-52,-59,-89,-73,27
JO,Jordan,,,,,,2020-03-30,-73,-49,-58,-88,-71,25
JO,Jordan,,,,,,2020-03-31,-73,-49,-57,-89,-71,27
JO,Jordan,,,,,,2020-04-01,-70,-46,-59,-88,-71,27
JO,Jordan,,,,,,2020-04-02,-69,-41,-59,-90,-69,30
JO,Jordan,,,,,,2020-04-03,-91,-84,-74,-94,-62,21
JO,Jordan,,,,,,2020-04-04,-71,-45,-56,-91,-63,22
JO,Jordan,,,,,,2020-04-05,-69,-44,-56,-88,-70,27
JO,Jordan,,,,,,2020-04-06,-71,-46,-61,-89,-70,27
JO,Jordan,,,,,,2020-04-07,-70,-44,-58,-89,-70,27
JO,Jordan,,,,,,2020-04-08,-70,-45,-58,-88,-70,26
JO,Jordan,,,,,,2020-04-09,-65,-33,-58,-89,-69,29
JO,Jordan,,,,,,2020-04-10,-92,-86,-77,-94,-66,23
JO,Jordan,,,,,,2020-04-11,-93,-89,-78,-95,-81,31
JO,Jordan,,,,,,2020-04-12,-63,-33,-51,-87,-68,25
JO,Jordan,,,,,,2020-04-13,-68,-41,-57,-88,-68,26
JO,Jordan,,,,,,2020-04-14,-69,-41,-55,-87,-67,25
JO,Jordan,,,,,,2020-04-15,-63,-33,-52,-87,-66,24
JO,Jordan,,,,,,2020-04-16,-63,-29,-54,-88,-64,27
JO,Jordan,,,,,,2020-04-17,-92,-85,-76,-95,-63,22
JO,Jordan,,,,,,2020-04-18,-93,-88,-78,-95,-79,30
JO,Jordan,,,,,,2020-04-19,-59,-31,-45,-84,-63,22
JO,Jordan,,,,,,2020-04-20,-63,-36,-51,-85,-64,23
JO,Jordan,,,,,,2020-04-21,-59,-31,-48,-82,-61,22
JO,Jordan,,,,,,2020-04-22,-53,-23,-41,-83,-59,20
JO,Jordan,,,,,,2020-04-23,-50,-19,-43,-84,-56,23
JO,Jordan,,,,,,2020-04-24,-92,-86,-76,-93,-63,23
JO,Jordan,,,,,,2020-04-25,-54,-29,-47,-88,-52,20
JO,Jordan,,,,,,2020-04-26,-55,-32,-46,-85,-58,23
JO,Jordan,,,,,,2020-04-27,-56,-34,-50,-86,-56,23
JO,Jordan,,,,,,2020-04-28,-56,-35,-48,-85,-55,22
JO,Jordan,,,,,,2020-04-29,-45,-22,-39,-83,-50,19
JO,Jordan,,,,,,2020-04-30,-45,-20,-44,-84,-48,21
JO,Jordan,,,,,,2020-05-01,-91,-85,-76,-94,-61,22
JO,Jordan,,,,,,2020-05-02,-40,-17,-35,-85,-36,13
JO,Jordan,,,,,,2020-05-03,-41,-20,-35,-82,-45,17
JO,Jordan,,,,,,2020-05-04,-43,-22,-40,-82,-45,17
JO,Jordan,,,,,,2020-05-05,-46,-26,-43,-80,-46,19
JO,Jordan,,,,,,2020-05-06,-41,-20,-39,-78,-43,18
JO,Jordan,,,,,,2020-05-07,-39,-13,-39,-79,-41,18
JO,Jordan,,,,,,2020-05-08,-91,-84,-75,-93,-60,22
JO,Jordan,,,,,,2020-05-09,-37,-14,-36,-84,-31,13
JO,Jordan,,,,,,2020-05-10,-37,-16,-33,-81,-39,16
JO,Jordan,,,,,,2020-05-11,-40,-18,-38,-80,-40,16
JO,Jordan,,,,,,2020-05-12,-37,-15,-35,-80,-39,16
JO,Jordan,,,,,,2020-05-13,-37,-15,-34,-80,-38,15
JO,Jordan,,,,,,2020-05-14,-39,-13,-38,-81,-38,16
JO,Jordan,,,,,,2020-05-15,-91,-83,-74,-89,-58,21
JO,Jordan,,,,,,2020-05-16,-33,-9,-32,-80,-28,10
JO,Jordan,,,,,,2020-05-17,-35,-13,-32,-76,-38,15
JO,Jordan,,,,,,2020-05-18,-35,-12,-37,-78,-38,15
JO,Jordan,,,,,,2020-05-19,-31,-7,-31,-77,-38,14
JO,Jordan,,,,,,2020-05-20,-9,19,-17,-73,-36,10
JO,Jordan,,,,,,2020-05-21,0,40,-11,-73,-35,10
JO,Jordan,,,,,,2020-05-22,-91,-84,-74,-93,-59,21
JO,Jordan,,,,,,2020-05-23,-92,-86,-76,-93,-77,29
JO,Jordan,,,,,,2020-05-24,-91,-83,-74,-94,-82,33
JO,Jordan,,,,,,2020-05-25,-34,-5,-21,-80,-61,12
JO,Jordan,,,,,,2020-05-26,-29,-8,-24,-74,-31,10
JO,Jordan,,,,,,2020-05-27,-27,-7,-24,-74,-29,10
JO,Jordan,,,,,,2020-05-28,-26,0,-26,-74,-27,11
JO,Jordan,,,,,,2020-05-29,-91,-83,-73,-93,-57,21
JO,Jordan,,,,,,2020-05-30,-23,-2,-18,-78,-17,6
JO,Jordan,,,,,,2020-05-31,-25,-7,-18,-70,-25,9
JO,Jordan,,,,,,2020-06-01,-28,-8,-26,-70,-24,10
JO,Jordan,,,,,,2020-06-02,-29,-10,-26,-71,-25,10
JO,Jordan,,,,,,2020-06-03,-26,-5,-23,-70,-24,9
JO,Jordan,,,,,,2020-06-04,-28,-3,-27,-73,-23,11
JO,Jordan,,,,,,2020-06-05,-88,-79,-69,-92,-52,20
JO,Jordan,,,,,,2020-06-06,-2,13,0,-67,-11,1
JO,Jordan,,,,,,2020-06-07,-8,6,-6,-62,-21,5
JO,Jordan,,,,,,2020-06-08,-12,3,-12,-62,-20,5
JO,Jordan,,,,,,2020-06-09,-10,4,-7,-59,-19,4
JO,Jordan,,,,,,2020-06-10,-6,8,-2,-56,-18,4
JO,Jordan,,,,,,2020-06-11,-9,7,-5,-63,-17,6
JO,Jordan,,,,,,2020-06-12,-17,-5,4,-77,-7,4
JO,Jordan,,,,,,2020-06-13,-10,3,-1,-68,-10,3
JO,Jordan,,,,,,2020-06-14,-8,5,-3,-58,-19,5
JO,Jordan,,,,,,2020-06-15,-11,4,-7,-58,-17,5
JO,Jordan,,,,,,2020-06-16,-9,4,-4,-60,-17,5
JO,Jordan,,,,,,2020-06-17,-7,6,-2,-58,-17,4
JO,Jordan,,,,,,2020-06-18,-11,3,-5,-60,-16,6
JO,Jordan,,,,,,2020-06-19,-16,-4,8,-74,-7,3
JO,Jordan,,,,,,2020-06-20,-9,2,-1,-67,-9,3
JO,Jordan,,,,,,2020-06-21,-7,4,0,-57,-18,4
JO,Jordan,,,,,,2020-06-22,-7,7,-4,-55,-19,4
JO,Jordan,,,,,,2020-06-23,-6,7,-1,-55,-19,4
JO,Jordan,,,,,,2020-06-24,-4,9,1,-59,-17,3
JO,Jordan,,,,,,2020-06-25,-7,7,2,-59,-16,5
JO,Jordan,,,,,,2020-06-26,-11,2,20,-73,-6,1
JO,Jordan,,,,,,2020-06-27,-6,6,6,-65,-9,1
JO,Jordan,,,,,,2020-06-28,-6,6,2,-56,-16,4
JO,Jordan,,,,,,2020-06-29,-7,6,-2,-56,-17,4
JO,Jordan,,,,,,2020-06-30,-6,6,0,-54,-17,4
JO,Jordan,,,,,,2020-07-01,-3,10,6,-53,-16,3
JO,Jordan,,,,,,2020-07-02,-7,6,7,-55,-15,5
JO,Jordan,,,,,,2020-07-03,-10,2,27,-69,-9,2
JO,Jordan,,,,,,2020-07-04,-5,6,12,-62,-9,2
JO,Jordan,,,,,,2020-07-05,-5,7,7,-52,-18,4
JO,Jordan,,,,,,2020-07-06,-6,6,2,-53,-18,4
JO,Jordan,,,,,,2020-07-07,-4,7,9,-53,-18,3
JO,Jordan,,,,,,2020-07-08,-4,7,10,-53,-16,3
JO,Jordan,,,,,,2020-07-09,-7,5,12,-54,-15,4
JO,Jordan,,,,,,2020-07-10,-8,2,35,-68,-9,2
JO,Jordan,,,,,,2020-07-11,-6,5,13,-60,-9,2
JO,Jordan,,,,,,2020-07-12,-5,6,6,-53,-17,4
JO,Jordan,,,,,,2020-07-13,-7,5,2,-53,-17,4
JO,Jordan,,,,,,2020-07-14,-7,4,4,-51,-18,3
JO,Jordan,,,,,,2020-07-15,-6,5,7,-51,-16,3
JO,Jordan,,,,,,2020-07-16,-7,4,10,-53,-14,4
JO,Jordan,,,,,,2020-07-17,-7,3,32,-66,-9,2
JO,Jordan,,,,,,2020-07-18,-5,5,13,-59,-9,1
JO,Jordan,,,,,,2020-07-19,-6,5,4,-52,-17,4
JO,Jordan,,,,,,2020-07-20,-8,4,-1,-52,-17,4
JO,Jordan,,,,,,2020-07-21,-5,6,5,-52,-18,3
JO,Jordan,,,,,,2020-07-22,-5,6,4,-53,-16,4
JO,Jordan,,,,,,2020-07-23,-1,10,8,-53,-14,3
JO,Jordan,,,,,,2020-07-24,2,12,33,-65,-5,1
JO,Jordan,,,,,,2020-07-25,3,12,19,-57,-8,0
JO,Jordan,,,,,,2020-07-26,3,12,8,-52,-16,3
JO,Jordan,,,,,,2020-07-27,2,13,0,-52,-17,2
JO,Jordan,,,,,,2020-07-28,8,19,6,-49,-17,2
JO,Jordan,,,,,,2020-07-29,20,33,12,-49,-18,0
JO,Jordan,,,,,,2020-07-30,-5,16,-7,-71,-50,16
JO,Jordan,,,,,,2020-07-31,-6,20,42,-69,-14,-4
JO,Jordan,,,,,,2020-08-01,-12,-4,39,-72,-50,3
JO,Jordan,,,,,,2020-08-02,-6,0,37,-73,-62,9
JO,Jordan,,,,,,2020-08-03,-5,1,30,-70,-57,9
JO,Jordan,,,,,,2020-08-04,-6,5,13,-54,-20,4
JO,Jordan,,,,,,2020-08-05,-4,6,14,-56,-18,3
JO,Jordan,,,,,,2020-08-06,-7,4,15,-55,-17,4
JO,Jordan,,,,,,2020-08-07,-8,0,40,-69,-10,1
JO,Jordan,,,,,,2020-08-08,-5,3,17,-62,-11,1
JO,Jordan,,,,,,2020-08-09,-4,6,14,-51,-17,2
JO,Jordan,,,,,,2020-08-10,-6,5,11,-51,-18,3
JO,Jordan,,,,,,2020-08-11,-4,6,18,-50,-17,2
JO,Jordan,,,,,,2020-08-12,-1,9,20,-51,-15,2
JO,Jordan,,,,,,2020-08-13,-4,6,16,-52,-14,3
JO,Jordan,,,,,,2020-08-14,-7,2,35,-67,-9,2
JO,Jordan,,,,,,2020-08-15,-9,3,15,-61,-11,0
JO,Jordan,,,,,,2020-08-16,-6,7,9,-56,-16,2
JO,Jordan,,,,,,2020-08-17,-7,6,8,-52,-16,3
JO,Jordan,,,,,,2020-08-18,-4,8,15,-51,-15,3
JO,Jordan,,,,,,2020-08-19,1,12,24,-52,-15,2
JO,Jordan,,,,,,2020-08-20,-10,1,27,-66,-44,11
JO,Jordan,,,,,,2020-08-21,-9,2,44,-68,-12,2
JO,Jordan,,,,,,2020-08-22,-5,4,24,-62,-10,2
JO,Jordan,,,,,,2020-08-23,-1,11,18,-53,-15,3
JO,Jordan,,,,,,2020-08-24,2,14,21,-52,-14,2
JO,Jordan,,,,,,2020-08-25,3,16,24,-49,-13,2
JO,Jordan,,,,,,2020-08-26,7,19,31,-49,-11,2
JO,Jordan,,,,,,2020-08-27,9,28,34,-53,-10,2
JO,Jordan,,,,,,2020-08-28,-66,-61,-24,-83,-52,17
JO,Jordan,,,Amman Metropolitan Area,,,2020-02-15,4,5,38,6,0,-2
JO,Jordan,,,Amman Metropolitan Area,,,2020-02-16,-3,2,9,18,3,0
JO,Jordan,,,Amman Metropolitan Area,,,2020-02-17,-4,0,11,5,3,0
JO,Jordan,,,Amman Metropolitan Area,,,2020-02-18,-6,0,9,13,4,0
JO,Jordan,,,Amman Metropolitan Area,,,2020-02-19,-6,-3,8,3,3,0
JO,Jordan,,,Amman Metropolitan Area,,,2020-02-20,-5,-2,2,15,7,0
JO,Jordan,,,Amman Metropolitan Area,,,2020-02-21,2,3,34,-3,2,-1
JO,Jordan,,,Amman Metropolitan Area,,,2020-02-22,-8,-4,2,1,-2,2
JO,Jordan,,,Amman Metropolitan Area,,,2020-02-23,-4,1,6,16,4,0
JO,Jordan,,,Amman Metropolitan Area,,,2020-02-24,-2,4,8,9,4,-1
JO,Jordan,,,Amman Metropolitan Area,,,2020-02-25,-9,-2,-2,10,3,0
JO,Jordan,,,Amman Metropolitan Area,,,2020-02-26,1,6,13,17,4,-1
JO,Jordan,,,Amman Metropolitan Area,,,2020-02-27,3,7,21,21,8,-2
JO,Jordan,,,Amman Metropolitan Area,,,2020-02-28,11,14,91,9,2,-4
JO,Jordan,,,Amman Metropolitan Area,,,2020-02-29,0,4,15,4,-1,-1
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-01,-4,1,3,5,3,0
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-02,-3,7,6,10,4,-1
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-03,-2,7,15,11,5,-1
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-04,2,8,29,12,5,-2
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-05,1,6,29,22,9,-2
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-06,-7,-2,4,-9,-2,1
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-07,-1,5,16,-1,-1,0
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-08,-1,5,18,13,5,-1
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-09,-2,4,12,11,4,-1
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-10,-3,4,20,9,5,-1
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-11,2,8,30,7,5,-3
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-12,-15,-3,-6,21,4,2
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-13,-17,-9,-11,-15,-5,4
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-14,-10,4,-2,-8,-6,3
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-15,-11,8,-1,-8,-9,4
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-16,-17,6,-6,-14,-16,5
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-17,-11,30,-8,-26,-25,7
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-18,-55,-30,-44,-73,-66,23
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-19,-64,-38,-54,-78,-67,28
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-20,-33,14,-30,-56,-36,11
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-21,-89,-85,-76,-88,-83,29
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-22,-93,-89,-77,-86,-87,35
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-23,-93,-88,-77,-87,-86,34
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-24,-84,-71,-66,-83,-84,31
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-25,-67,-35,-47,-79,-78,25
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-26,-69,-38,-54,-78,-77,31
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-27,-72,-45,-52,-72,-51,17
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-28,-79,-59,-59,-82,-72,24
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-29,-77,-57,-61,-81,-77,29
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-30,-75,-54,-59,-81,-76,27
JO,Jordan,,,Amman Metropolitan Area,,,2020-03-31,-75,-53,-57,-83,-76,28
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-01,-73,-51,-57,-82,-76,28
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-02,-72,-46,-58,-82,-74,31
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-03,-94,-89,-75,-85,-71,22
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-04,-73,-50,-55,-82,-69,23
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-05,-72,-50,-56,-82,-74,28
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-06,-74,-51,-60,-83,-75,28
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-07,-73,-48,-56,-84,-75,29
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-08,-73,-49,-55,-84,-75,27
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-09,-68,-39,-55,-81,-74,31
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-10,-95,-90,-78,-86,-74,24
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-11,-95,-92,-80,-91,-86,32
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-12,-65,-38,-51,-82,-73,26
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-13,-71,-44,-56,-83,-73,27
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-14,-71,-45,-52,-81,-72,27
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-15,-66,-37,-48,-81,-71,25
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-16,-66,-33,-52,-80,-69,28
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-17,-94,-90,-77,-85,-72,24
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-18,-95,-91,-79,-89,-85,31
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-19,-62,-31,-47,-79,-68,24
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-20,-66,-36,-51,-81,-69,25
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-21,-62,-32,-47,-77,-66,24
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-22,-57,-24,-38,-78,-64,22
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-23,-56,-21,-43,-76,-62,25
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-24,-94,-89,-77,-85,-71,24
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-25,-59,-32,-46,-78,-58,21
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-26,-60,-35,-49,-79,-63,25
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-27,-60,-35,-52,-80,-62,25
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-28,-61,-37,-50,-79,-60,25
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-29,-47,-22,-34,-74,-53,19
JO,Jordan,,,Amman Metropolitan Area,,,2020-04-30,-48,-20,-41,-73,-52,22
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-01,-94,-89,-76,-86,-69,23
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-02,-42,-17,-30,-68,-39,14
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-03,-43,-20,-34,-72,-48,18
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-04,-45,-21,-38,-71,-48,18
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-05,-48,-25,-41,-73,-49,20
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-06,-43,-20,-34,-72,-46,19
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-07,-43,-14,-37,-70,-44,19
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-08,-93,-88,-75,-84,-69,23
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-09,-40,-14,-31,-63,-34,13
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-10,-39,-15,-31,-67,-41,17
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-11,-42,-17,-36,-68,-42,17
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-12,-39,-14,-31,-66,-41,17
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-13,-38,-14,-29,-68,-41,15
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-14,-41,-12,-36,-66,-40,18
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-15,-93,-87,-74,-83,-67,23
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-16,-35,-9,-26,-62,-31,11
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-17,-36,-11,-30,-65,-40,15
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-18,-36,-10,-34,-65,-41,15
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-19,-32,-6,-27,-63,-40,15
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-20,-11,21,-10,-57,-39,11
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-21,-5,40,-7,-54,-37,10
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-22,-94,-88,-75,-85,-68,23
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-23,-94,-89,-79,-89,-83,31
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-24,-93,-87,-77,-93,-87,35
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-25,-36,-5,-18,-67,-65,13
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-26,-31,-7,-18,-54,-33,10
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-27,-28,-6,-17,-56,-31,10
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-28,-29,1,-22,-50,-29,12
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-29,-93,-87,-75,-85,-66,23
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-30,-24,-1,-9,-46,-18,6
JO,Jordan,,,Amman Metropolitan Area,,,2020-05-31,-26,-5,-15,-44,-27,10
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-01,-29,-7,-22,-47,-26,10
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-02,-30,-8,-21,-46,-27,11
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-03,-27,-4,-16,-46,-26,10
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-04,-30,-3,-23,-48,-24,12
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-05,-91,-83,-70,-83,-61,22
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-06,-2,15,11,-17,-12,0
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-07,-8,8,-2,-27,-23,5
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-08,-11,5,-6,-29,-22,5
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-09,-11,6,0,-25,-21,5
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-10,-6,10,8,-22,-20,4
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-11,-11,8,-2,-35,-19,7
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-12,-20,-6,13,-37,-9,4
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-13,-11,4,7,-21,-12,3
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-14,-9,7,0,-22,-20,5
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-15,-11,7,-2,-28,-19,5
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-16,-10,7,1,-27,-18,5
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-17,-8,8,8,-28,-18,4
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-18,-13,4,-1,-27,-17,6
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-19,-18,-4,17,-34,-9,4
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-20,-11,3,6,-24,-11,3
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-21,-9,6,2,-25,-19,5
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-22,-9,7,0,-24,-20,5
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-23,-9,7,3,-24,-20,5
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-24,-5,10,8,-28,-18,4
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-25,-10,7,3,-24,-17,5
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-26,-15,1,28,-33,-7,1
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-27,-9,6,10,-25,-11,2
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-28,-8,9,5,-22,-17,4
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-29,-8,9,2,-23,-18,4
JO,Jordan,,,Amman Metropolitan Area,,,2020-06-30,-7,8,7,-21,-18,4
JO,Jordan,,,Amman Metropolitan Area,,,2020-07-01,-4,11,16,-19,-18,3
JO,Jordan,,,Amman Metropolitan Area,,,2020-07-02,-9,7,13,-13,-16,5
JO,Jordan,,,Amman Metropolitan Area,,,2020-07-03,-13,1,43,-19,-10,3
JO,Jordan,,,Amman Metropolitan Area,,,2020-07-04,-7,7,26,-9,-11,2
JO,Jordan,,,Amman Metropolitan Area,,,2020-07-05,-6,8,13,-14,-19,4
JO,Jordan,,,Amman Metropolitan Area,,,2020-07-06,-7,8,9,-15,-19,4
JO,Jordan,,,Amman Metropolitan Area,,,2020-07-07,-6,8,18,-17,-20,4
JO,Jordan,,,Amman Metropolitan Area,,,2020-07-08,-5,8,22,-13,-18,3
