country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
SG,Singapore,,,,,,2020-02-15,-14,-9,-10,-17,-4,8
SG,Singapore,,,,,,2020-02-16,-19,-17,-18,-22,-7,8
SG,Singapore,,,,,,2020-02-17,-12,-6,-7,-14,-4,7
SG,Singapore,,,,,,2020-02-18,-13,-9,-7,-15,-5,7
SG,Singapore,,,,,,2020-02-19,-14,-14,-6,-15,-5,8
SG,Singapore,,,,,,2020-02-20,-14,-13,-10,-12,-5,7
SG,Singapore,,,,,,2020-02-21,-11,-12,-14,-12,0,8
SG,Singapore,,,,,,2020-02-22,-11,-9,-5,-16,-3,6
SG,Singapore,,,,,,2020-02-23,-14,-12,-3,-19,-5,6
SG,Singapore,,,,,,2020-02-24,-12,-8,-12,-14,-3,7
SG,Singapore,,,,,,2020-02-25,-10,-6,-2,-13,-3,6
SG,Singapore,,,,,,2020-02-26,-12,-13,-4,-14,-4,7
SG,Singapore,,,,,,2020-02-27,-12,-9,-5,-9,-4,6
SG,Singapore,,,,,,2020-02-28,-8,-10,-8,-11,1,7
SG,Singapore,,,,,,2020-02-29,-8,-7,-2,-13,0,5
SG,Singapore,,,,,,2020-03-01,-11,-9,-1,-16,-3,5
SG,Singapore,,,,,,2020-03-02,-8,-5,-7,-12,-2,6
SG,Singapore,,,,,,2020-03-03,-8,-5,-3,-13,-1,6
SG,Singapore,,,,,,2020-03-04,-11,-12,-7,-12,-2,6
SG,Singapore,,,,,,2020-03-05,-12,-11,-13,-9,-2,6
SG,Singapore,,,,,,2020-03-06,-8,-9,-8,-10,3,7
SG,Singapore,,,,,,2020-03-07,-10,-8,-16,-15,0,6
SG,Singapore,,,,,,2020-03-08,-11,-10,-7,-16,-2,5
SG,Singapore,,,,,,2020-03-09,-11,-7,-9,-14,-1,6
SG,Singapore,,,,,,2020-03-10,-11,-7,-4,-13,-1,6
SG,Singapore,,,,,,2020-03-11,-13,-12,-9,-13,-2,7
SG,Singapore,,,,,,2020-03-12,-13,-9,-8,-9,-2,6
SG,Singapore,,,,,,2020-03-13,-10,-10,-9,-12,1,8
SG,Singapore,,,,,,2020-03-14,-11,-8,-1,-15,0,6
SG,Singapore,,,,,,2020-03-15,-14,-10,4,-18,-3,6
SG,Singapore,,,,,,2020-03-16,-10,-2,1,-16,-11,9
SG,Singapore,,,,,,2020-03-17,-8,16,2,-16,-12,9
SG,Singapore,,,,,,2020-03-18,-11,-2,-3,-19,-14,11
SG,Singapore,,,,,,2020-03-19,-13,-1,-2,-19,-16,12
SG,Singapore,,,,,,2020-03-20,-11,-6,-6,-21,-13,15
SG,Singapore,,,,,,2020-03-21,-13,-4,-15,-23,-3,11
SG,Singapore,,,,,,2020-03-22,-18,-8,-18,-31,-8,11
SG,Singapore,,,,,,2020-03-23,-16,-3,-23,-24,-11,12
SG,Singapore,,,,,,2020-03-24,-13,3,-9,-23,-13,12
SG,Singapore,,,,,,2020-03-25,-16,-1,-13,-25,-15,14
SG,Singapore,,,,,,2020-03-26,-18,4,-15,-25,-16,14
SG,Singapore,,,,,,2020-03-27,-20,-1,-24,-27,-14,18
SG,Singapore,,,,,,2020-03-28,-23,3,-15,-33,-8,15
SG,Singapore,,,,,,2020-03-29,-28,-6,-12,-40,-15,15
SG,Singapore,,,,,,2020-03-30,-21,-1,-16,-29,-18,16
SG,Singapore,,,,,,2020-03-31,-20,1,-10,-29,-18,15
SG,Singapore,,,,,,2020-04-01,-23,-9,-15,-31,-22,18
SG,Singapore,,,,,,2020-04-02,-25,-5,-22,-33,-27,19
SG,Singapore,,,,,,2020-04-03,-21,18,-29,-32,-20,21
SG,Singapore,,,,,,2020-04-04,-24,8,-27,-36,-7,15
SG,Singapore,,,,,,2020-04-05,-23,-1,-27,-40,-10,14
SG,Singapore,,,,,,2020-04-06,-15,12,-26,-32,-24,16
SG,Singapore,,,,,,2020-04-07,-51,-6,-37,-54,-52,32
SG,Singapore,,,,,,2020-04-08,-59,-21,-46,-63,-63,39
SG,Singapore,,,,,,2020-04-09,-57,-12,-37,-63,-64,38
SG,Singapore,,,,,,2020-04-10,-63,-13,-44,-75,-83,53
SG,Singapore,,,,,,2020-04-11,-61,-21,-51,-66,-51,32
SG,Singapore,,,,,,2020-04-12,-64,-31,-57,-70,-49,27
SG,Singapore,,,,,,2020-04-13,-60,-21,-53,-66,-64,40
SG,Singapore,,,,,,2020-04-14,-58,-14,-48,-65,-65,40
SG,Singapore,,,,,,2020-04-15,-60,-22,-52,-66,-66,42
SG,Singapore,,,,,,2020-04-16,-61,-19,-52,-66,-66,42
SG,Singapore,,,,,,2020-04-17,-60,-17,-57,-65,-65,47
SG,Singapore,,,,,,2020-04-18,-65,-22,-62,-66,-51,32
SG,Singapore,,,,,,2020-04-19,-66,-28,-61,-69,-49,27
SG,Singapore,,,,,,2020-04-20,-65,-20,-57,-68,-66,41
SG,Singapore,,,,,,2020-04-21,-64,-20,-60,-69,-67,42
SG,Singapore,,,,,,2020-04-22,-66,-25,-64,-69,-68,44
SG,Singapore,,,,,,2020-04-23,-68,-26,-66,-70,-69,44
SG,Singapore,,,,,,2020-04-24,-70,-29,-73,-71,-67,49
SG,Singapore,,,,,,2020-04-25,-68,-27,-71,-70,-55,34
SG,Singapore,,,,,,2020-04-26,-70,-35,-72,-72,-52,28
SG,Singapore,,,,,,2020-04-27,-67,-24,-65,-70,-68,43
SG,Singapore,,,,,,2020-04-28,-66,-22,-63,-69,-68,42
SG,Singapore,,,,,,2020-04-29,-67,-29,-63,-69,-69,43
SG,Singapore,,,,,,2020-04-30,-67,-24,-70,-67,-69,43
SG,Singapore,,,,,,2020-05-01,-68,-17,-73,-74,-83,55
SG,Singapore,,,,,,2020-05-02,-67,-22,-69,-67,-54,33
SG,Singapore,,,,,,2020-05-03,-69,-32,-70,-69,-49,28
SG,Singapore,,,,,,2020-05-04,-66,-21,-67,-68,-67,42
