country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CL,Chile,,,,,,2020-02-15,2,4,9,0,-3,0
CL,Chile,,,,,,2020-02-16,3,5,5,4,-1,0
CL,Chile,,,,,,2020-02-17,1,6,11,-3,-8,1
CL,Chile,,,,,,2020-02-18,0,5,13,-3,-7,1
CL,Chile,,,,,,2020-02-19,0,8,11,-3,-7,1
CL,Chile,,,,,,2020-02-20,-1,5,11,-3,-7,1
CL,Chile,,,,,,2020-02-21,-3,5,10,-6,-7,2
CL,Chile,,,,,,2020-02-22,0,5,9,-1,-2,0
CL,Chile,,,,,,2020-02-23,-1,4,-3,1,-2,1
CL,Chile,,,,,,2020-02-24,-1,3,-4,-3,-2,2
CL,Chile,,,,,,2020-02-25,-1,3,1,-1,-1,1
CL,Chile,,,,,,2020-02-26,-3,3,-3,-1,0,2
CL,Chile,,,,,,2020-02-27,-1,3,-4,0,1,2
CL,Chile,,,,,,2020-02-28,6,9,-2,0,2,1
CL,Chile,,,,,,2020-02-29,13,12,-8,5,0,0
CL,Chile,,,,,,2020-03-01,11,15,-15,7,1,2
CL,Chile,,,,,,2020-03-02,5,9,-15,2,11,0
CL,Chile,,,,,,2020-03-03,4,10,-14,3,12,0
CL,Chile,,,,,,2020-03-04,1,9,-16,5,14,0
CL,Chile,,,,,,2020-03-05,-1,4,-15,5,15,0
CL,Chile,,,,,,2020-03-06,1,5,-12,4,16,0
CL,Chile,,,,,,2020-03-07,7,7,-20,2,3,3
CL,Chile,,,,,,2020-03-08,5,7,-8,12,-1,5
CL,Chile,,,,,,2020-03-09,-3,2,-13,5,16,0
CL,Chile,,,,,,2020-03-10,-3,1,-17,7,17,-2
CL,Chile,,,,,,2020-03-11,-8,0,-19,6,16,0
CL,Chile,,,,,,2020-03-12,-7,-1,-21,5,17,-1
