country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
SE,Sweden,,,,,,2020-02-15,2,0,3,4,-2,0
SE,Sweden,,,,,,2020-02-16,-10,-7,-30,-11,-5,2
SE,Sweden,,,,,,2020-02-17,-4,-3,-3,-6,-6,2
SE,Sweden,,,,,,2020-02-18,0,0,13,-4,-5,1
SE,Sweden,,,,,,2020-02-19,3,1,26,-3,-5,1
SE,Sweden,,,,,,2020-02-20,1,1,-1,-6,-6,1
SE,Sweden,,,,,,2020-02-21,5,0,22,-2,-7,1
SE,Sweden,,,,,,2020-02-22,0,-1,-10,-2,-3,1
SE,Sweden,,,,,,2020-02-23,2,0,23,0,-1,0
SE,Sweden,,,,,,2020-02-24,2,0,24,-3,-4,1
SE,Sweden,,,,,,2020-02-25,8,9,8,-3,-4,1
SE,Sweden,,,,,,2020-02-26,5,2,4,-5,-4,1
SE,Sweden,,,,,,2020-02-27,7,4,10,-2,-5,1
SE,Sweden,,,,,,2020-02-28,7,2,16,-1,-6,1
SE,Sweden,,,,,,2020-02-29,8,4,8,5,0,0
SE,Sweden,,,,,,2020-03-01,-1,-2,-7,-6,-2,1
SE,Sweden,,,,,,2020-03-02,1,2,10,-3,-2,1
SE,Sweden,,,,,,2020-03-03,0,2,5,-4,-2,1
SE,Sweden,,,,,,2020-03-04,-2,-1,-2,-5,-2,1
SE,Sweden,,,,,,2020-03-05,0,3,8,-4,-2,1
SE,Sweden,,,,,,2020-03-06,2,1,24,-1,-2,1
SE,Sweden,,,,,,2020-03-07,5,4,36,6,0,0
SE,Sweden,,,,,,2020-03-08,1,-2,0,-6,-1,1
SE,Sweden,,,,,,2020-03-09,-2,0,8,-5,0,1
SE,Sweden,,,,,,2020-03-10,-4,1,3,-6,0,1
SE,Sweden,,,,,,2020-03-11,-4,4,10,-7,-1,2
SE,Sweden,,,,,,2020-03-12,-12,11,-17,-16,-4,4
SE,Sweden,,,,,,2020-03-13,-13,8,-4,-19,-10,6
SE,Sweden,,,,,,2020-03-14,-17,9,59,-13,-6,3
SE,Sweden,,,,,,2020-03-15,-25,-2,-15,-30,-10,5
SE,Sweden,,,,,,2020-03-16,-19,3,11,-25,-17,8
SE,Sweden,,,,,,2020-03-17,-24,0,2,-32,-21,9
SE,Sweden,,,,,,2020-03-18,-26,-3,1,-37,-27,11
SE,Sweden,,,,,,2020-03-19,-22,-2,40,-35,-28,11
SE,Sweden,,,,,,2020-03-20,-24,-5,11,-37,-28,12
SE,Sweden,,,,,,2020-03-21,-26,-5,66,-28,-13,6
SE,Sweden,,,,,,2020-03-22,-26,-9,57,-33,-15,5
SE,Sweden,,,,,,2020-03-23,-25,-8,8,-38,-27,11
SE,Sweden,,,,,,2020-03-24,-25,-7,22,-37,-28,11
SE,Sweden,,,,,,2020-03-25,-19,1,25,-36,-28,11
SE,Sweden,,,,,,2020-03-26,-18,-2,48,-35,-28,11
SE,Sweden,,,,,,2020-03-27,-19,-5,43,-35,-29,11
SE,Sweden,,,,,,2020-03-28,-24,-4,52,-29,-15,6
SE,Sweden,,,,,,2020-03-29,-24,-10,43,-36,-18,5
SE,Sweden,,,,,,2020-03-30,-22,-10,8,-39,-29,11
SE,Sweden,,,,,,2020-03-31,-22,-7,27,-37,-29,11
SE,Sweden,,,,,,2020-04-01,-22,-5,27,-38,-29,11
SE,Sweden,,,,,,2020-04-02,-27,-8,-6,-43,-30,13
SE,Sweden,,,,,,2020-04-03,-25,-7,6,-41,-31,13
SE,Sweden,,,,,,2020-04-04,-26,-5,57,-32,-16,6
SE,Sweden,,,,,,2020-04-05,-25,-9,69,-37,-18,6
SE,Sweden,,,,,,2020-04-06,-12,-2,92,-35,-36,11
SE,Sweden,,,,,,2020-04-07,-13,2,65,-37,-36,11
SE,Sweden,,,,,,2020-04-08,-8,9,77,-36,-37,10
SE,Sweden,,,,,,2020-04-09,-3,18,81,-37,-44,12
SE,Sweden,,,,,,2020-04-10,-45,-20,129,-54,-80,21
SE,Sweden,,,,,,2020-04-11,-41,-15,84,-36,-24,6
SE,Sweden,,,,,,2020-04-12,-34,-17,54,-43,-24,6
SE,Sweden,,,,,,2020-04-13,-38,-20,43,-61,-82,23
SE,Sweden,,,,,,2020-04-14,-19,-6,32,-38,-31,11
SE,Sweden,,,,,,2020-04-15,-19,-5,63,-35,-31,11
SE,Sweden,,,,,,2020-04-16,-19,-3,50,-37,-31,11
SE,Sweden,,,,,,2020-04-17,-18,-3,56,-36,-32,11
SE,Sweden,,,,,,2020-04-18,-25,-5,83,-26,-12,5
SE,Sweden,,,,,,2020-04-19,-22,-10,104,-31,-13,4
SE,Sweden,,,,,,2020-04-20,-12,-4,78,-32,-27,9
SE,Sweden,,,,,,2020-04-21,-13,-4,129,-29,-26,8
SE,Sweden,,,,,,2020-04-22,-13,-4,124,-30,-25,8
SE,Sweden,,,,,,2020-04-23,-13,-2,105,-31,-26,9
SE,Sweden,,,,,,2020-04-24,-13,-1,50,-34,-27,10
SE,Sweden,,,,,,2020-04-25,-16,-1,73,-24,-10,5
SE,Sweden,,,,,,2020-04-26,-13,-5,82,-31,-11,4
SE,Sweden,,,,,,2020-04-27,-13,-5,17,-36,-27,10
SE,Sweden,,,,,,2020-04-28,-16,-4,23,-36,-26,8
SE,Sweden,,,,,,2020-04-29,-13,2,35,-34,-25,9
SE,Sweden,,,,,,2020-04-30,-9,14,44,-35,-33,9
SE,Sweden,,,,,,2020-05-01,-46,-24,35,-60,-79,23
SE,Sweden,,,,,,2020-05-02,-20,-5,81,-27,-12,5
SE,Sweden,,,,,,2020-05-03,-18,-8,94,-30,-10,3
SE,Sweden,,,,,,2020-05-04,-14,-4,31,-36,-26,9
SE,Sweden,,,,,,2020-05-05,-14,-3,72,-33,-24,9
SE,Sweden,,,,,,2020-05-06,-14,-2,85,-31,-24,9
SE,Sweden,,,,,,2020-05-07,-13,0,86,-31,-24,8
SE,Sweden,,,,,,2020-05-08,-14,-1,84,-31,-25,8
SE,Sweden,,,,,,2020-05-09,-16,-1,146,-17,-5,2
SE,Sweden,,,,,,2020-05-10,-20,-6,34,-39,-11,5
SE,Sweden,,,,,,2020-05-11,-13,-2,45,-34,-25,9
SE,Sweden,,,,,,2020-05-12,-18,-3,33,-34,-24,9
SE,Sweden,,,,,,2020-05-13,-18,-3,48,-34,-23,9
SE,Sweden,,,,,,2020-05-14,-16,-1,49,-34,-24,8
SE,Sweden,,,,,,2020-05-15,-17,-4,47,-33,-26,9
SE,Sweden,,,,,,2020-05-16,-19,-3,56,-26,-7,4
SE,Sweden,,,,,,2020-05-17,-20,-7,48,-35,-6,5
SE,Sweden,,,,,,2020-05-18,-11,-3,61,-32,-24,8
SE,Sweden,,,,,,2020-05-19,-10,1,75,-30,-23,8
SE,Sweden,,,,,,2020-05-20,5,17,137,-23,-25,5
SE,Sweden,,,,,,2020-05-21,-21,0,268,-42,-76,17
SE,Sweden,,,,,,2020-05-22,-10,-4,184,-35,-57,12
SE,Sweden,,,,,,2020-05-23,-19,-3,61,-30,-7,4
SE,Sweden,,,,,,2020-05-24,-15,-7,63,-30,-5,2
SE,Sweden,,,,,,2020-05-25,0,5,95,-28,-25,7
SE,Sweden,,,,,,2020-05-26,-1,3,163,-24,-21,6
