open_covid_region_code,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BHR,BH,Bahrain,,,,,,2020-02-15,-3,3,-11,-1,3,1
BHR,BH,Bahrain,,,,,,2020-02-16,-2,-1,-7,-3,7,0
BHR,BH,Bahrain,,,,,,2020-02-17,-5,-1,-11,-3,5,0
BHR,BH,Bahrain,,,,,,2020-02-18,-5,-4,-6,-3,5,1
BHR,BH,Bahrain,,,,,,2020-02-19,-5,-4,-10,-3,5,0
BHR,BH,Bahrain,,,,,,2020-02-20,-3,-2,-11,0,5,0
BHR,BH,Bahrain,,,,,,2020-02-21,-4,2,-1,-3,3,1
BHR,BH,Bahrain,,,,,,2020-02-22,-4,2,-2,-3,3,1
BHR,BH,Bahrain,,,,,,2020-02-23,-4,-2,-1,-5,7,0
BHR,BH,Bahrain,,,,,,2020-02-24,-7,0,-10,-3,5,1
BHR,BH,Bahrain,,,,,,2020-02-25,-9,4,-11,-8,4,1
BHR,BH,Bahrain,,,,,,2020-02-26,-12,2,-24,-10,-3,5
BHR,BH,Bahrain,,,,,,2020-02-27,-12,0,-22,-11,-4,6
BHR,BH,Bahrain,,,,,,2020-02-28,-19,-5,-26,-14,1,5
BHR,BH,Bahrain,,,,,,2020-02-29,-12,-1,-15,-9,3,3
BHR,BH,Bahrain,,,,,,2020-03-01,-7,-1,-7,-8,-2,3
BHR,BH,Bahrain,,,,,,2020-03-02,-10,-1,-16,-6,-3,4
BHR,BH,Bahrain,,,,,,2020-03-03,-9,-3,-12,-9,-4,4
BHR,BH,Bahrain,,,,,,2020-03-04,-10,-3,-15,-8,-3,4
BHR,BH,Bahrain,,,,,,2020-03-05,-10,-2,-15,-9,-4,5
BHR,BH,Bahrain,,,,,,2020-03-06,-16,-3,-16,-12,0,4
BHR,BH,Bahrain,,,,,,2020-03-07,-13,-3,-12,-10,3,3
BHR,BH,Bahrain,,,,,,2020-03-08,-11,-5,-11,-11,3,4
BHR,BH,Bahrain,,,,,,2020-03-09,-14,-5,-16,-11,1,4
BHR,BH,Bahrain,,,,,,2020-03-10,-14,-5,-10,-11,0,4
BHR,BH,Bahrain,,,,,,2020-03-11,-15,-6,-16,-12,0,5
BHR,BH,Bahrain,,,,,,2020-03-12,-17,-1,-21,-15,0,6
BHR,BH,Bahrain,,,,,,2020-03-13,-26,-5,-25,-21,-2,7
BHR,BH,Bahrain,,,,,,2020-03-14,-24,-6,-23,-20,-1,6
BHR,BH,Bahrain,,,,,,2020-03-15,-16,0,-14,-16,0,5
BHR,BH,Bahrain,,,,,,2020-03-16,-20,-4,-18,-16,-2,6
BHR,BH,Bahrain,,,,,,2020-03-17,-21,-8,-16,-17,-3,6
BHR,BH,Bahrain,,,,,,2020-03-18,-29,-10,-28,-23,-7,8
BHR,BH,Bahrain,,,,,,2020-03-19,-33,-10,-30,-28,-10,11
BHR,BH,Bahrain,,,,,,2020-03-20,-44,-17,-41,-39,-18,13
BHR,BH,Bahrain,,,,,,2020-03-21,-35,-14,-32,-29,-12,11
BHR,BH,Bahrain,,,,,,2020-03-22,-33,-12,-30,-30,-11,11
BHR,BH,Bahrain,,,,,,2020-03-23,-33,-7,-37,-31,-16,12
BHR,BH,Bahrain,,,,,,2020-03-24,-34,-8,-38,-33,-19,13
BHR,BH,Bahrain,,,,,,2020-03-25,-32,-7,-43,-32,-20,13
BHR,BH,Bahrain,,,,,,2020-03-26,-42,-16,-49,-40,-24,18
BHR,BH,Bahrain,,,,,,2020-03-27,-61,-32,-66,-56,-36,20
BHR,BH,Bahrain,,,,,,2020-03-28,-51,-25,-49,-44,-26,16
BHR,BH,Bahrain,,,,,,2020-03-29,-45,-22,-40,-38,-25,16
BHR,BH,Bahrain,,,,,,2020-03-30,-45,-20,-42,-37,-26,15
BHR,BH,Bahrain,,,,,,2020-03-31,-43,-18,-37,-33,-26,15
BHR,BH,Bahrain,,,,,,2020-04-01,-44,-18,-40,-34,-26,15
BHR,BH,Bahrain,,,,,,2020-04-02,-44,-16,-43,-36,-26,18
BHR,BH,Bahrain,,,,,,2020-04-03,-55,-25,-56,-48,-33,17
BHR,BH,Bahrain,,,,,,2020-04-04,-46,-19,-40,-38,-22,15
BHR,BH,Bahrain,,,,,,2020-04-05,-39,-16,-31,-32,-24,15
BHR,BH,Bahrain,,,,,,2020-04-06,-42,-16,-37,-31,-26,15
BHR,BH,Bahrain,,,,,,2020-04-07,-43,-17,-35,-33,-26,16
BHR,BH,Bahrain,,,,,,2020-04-08,-44,-17,-41,-34,-26,16
BHR,BH,Bahrain,,,,,,2020-04-09,-43,-13,-45,-37,-26,19
BHR,BH,Bahrain,,,,,,2020-04-10,-50,-24,-60,-48,-29,18
BHR,BH,Bahrain,,,,,,2020-04-11,-38,-15,-44,-37,-20,15
BHR,BH,Bahrain,,,,,,2020-04-12,-33,-13,-35,-34,-22,15
BHR,BH,Bahrain,,,,,,2020-04-13,-36,-14,-39,-33,-23,16
BHR,BH,Bahrain,,,,,,2020-04-14,-35,-15,-35,-33,-24,16
BHR,BH,Bahrain,,,,,,2020-04-15,-34,-14,-40,-33,-24,16
BHR,BH,Bahrain,,,,,,2020-04-16,-36,-11,-40,-36,-23,18
BHR,BH,Bahrain,,,,,,2020-04-17,-48,-22,-54,-47,-25,17
BHR,BH,Bahrain,,,,,,2020-04-18,-37,-17,-37,-35,-17,14
BHR,BH,Bahrain,,,,,,2020-04-19,-32,-16,-30,-32,-20,15
BHR,BH,Bahrain,,,,,,2020-04-20,-31,-10,-33,-30,-22,14
BHR,BH,Bahrain,,,,,,2020-04-21,-30,-10,-29,-29,-22,14
BHR,BH,Bahrain,,,,,,2020-04-22,-27,-6,-35,-28,-22,14
BHR,BH,Bahrain,,,,,,2020-04-23,-32,-2,-40,-31,-23,17
BHR,BH,Bahrain,,,,,,2020-04-24,-60,-27,-64,-53,-31,19
BHR,BH,Bahrain,,,,,,2020-04-25,-52,-23,-47,-42,-21,18
BHR,BH,Bahrain,,,,,,2020-04-26,-44,-16,-35,-34,-24,19
BHR,BH,Bahrain,,,,,,2020-04-27,-45,-15,-40,-34,-25,19
BHR,BH,Bahrain,,,,,,2020-04-28,-44,-16,-35,-34,-26,17
BHR,BH,Bahrain,,,,,,2020-04-29,-45,-17,-40,-35,-27,19
BHR,BH,Bahrain,,,,,,2020-04-30,-46,-15,-42,-35,-27,22
BHR,BH,Bahrain,,,,,,2020-05-01,-55,-25,-57,-46,-30,19
BHR,BH,Bahrain,,,,,,2020-05-02,-49,-20,-42,-39,-38,20
BHR,BH,Bahrain,,,,,,2020-05-03,-42,-17,-31,-37,-41,22
BHR,BH,Bahrain,,,,,,2020-05-04,-43,-16,-36,-32,-25,18
BHR,BH,Bahrain,,,,,,2020-05-05,-43,-17,-33,-31,-25,19
BHR,BH,Bahrain,,,,,,2020-05-06,-44,-17,-36,-33,-26,19
BHR,BH,Bahrain,,,,,,2020-05-07,-41,-12,-39,-32,-24,22
BHR,BH,Bahrain,,,,,,2020-05-08,-46,-21,-51,-40,-21,18
BHR,BH,Bahrain,,,,,,2020-05-09,-38,-16,-37,-31,-16,16
BHR,BH,Bahrain,,,,,,2020-05-10,-33,-14,-29,-28,-20,18
