open_covid_region_code,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-02,-58.0,-38.0,-62.0,-58.0,-18.0,20.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-03,-49.0,-33.0,-47.0,-47.0,-31.0,21.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-04,-48.0,-32.0,-46.0,-45.0,-31.0,21.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-05,-53.0,-33.0,-52.0,-50.0,-32.0,23.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-06,-52.0,-34.0,-50.0,-48.0,-31.0,22.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-07,-51.0,-32.0,-46.0,-49.0,-29.0,23.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-08,-50.0,-30.0,-52.0,-47.0,-20.0,21.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-09,-57.0,-38.0,-59.0,-56.0,-15.0,19.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-10,-34.0,-22.0,-42.0,-36.0,-25.0,17.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-11,-33.0,-20.0,-40.0,-34.0,-25.0,16.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-12,-32.0,-16.0,-43.0,-31.0,-25.0,16.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-13,-29.0,-12.0,-42.0,-30.0,-25.0,16.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-14,-27.0,-10.0,-37.0,-23.0,-23.0,16.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-15,-55.0,-31.0,-54.0,-51.0,-35.0,22.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-16,-52.0,-32.0,-57.0,-50.0,-12.0,17.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-17,-26.0,-20.0,-39.0,-30.0,-25.0,15.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-18,-30.0,-21.0,-40.0,-35.0,-25.0,16.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-19,-30.0,-18.0,-36.0,-33.0,-24.0,16.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-20,-30.0,-18.0,-38.0,-32.0,-25.0,16.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-21,-31.0,-20.0,-34.0,-32.0,-22.0,17.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-22,-49.0,-33.0,-51.0,-51.0,-21.0,19.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-23,-53.0,-38.0,-57.0,-56.0,-16.0,18.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-24,-26.0,-21.0,-36.0,-29.0,-23.0,15.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-25,-31.0,-22.0,-42.0,-35.0,-26.0,16.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-26,-28.0,-17.0,-35.0,-28.0,-23.0,16.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-27,-25.0,-15.0,-33.0,-36.0,-24.0,16.0
CL-LI,CL,Chile,O'Higgins,,,CL-LI,,2020-08-28,-25.0,-14.0,-33.0,-35.0,-23.0,16.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-02-15,-10.0,-7.0,-9.0,-7.0,-4.0,0.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-02-16,-6.0,-3.0,-12.0,-2.0,0.0,-1.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-02-17,-8.0,-3.0,-10.0,-8.0,-9.0,1.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-02-18,-9.0,-4.0,-10.0,-8.0,-8.0,1.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-02-19,-8.0,-4.0,-10.0,-8.0,-8.0,1.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-02-20,-9.0,-2.0,-11.0,-8.0,-8.0,1.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-02-21,-12.0,-3.0,-12.0,-11.0,-8.0,2.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-02-22,-10.0,-3.0,-7.0,-7.0,-3.0,1.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-02-23,-7.0,1.0,-12.0,-4.0,-2.0,1.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-02-24,-7.0,-1.0,-10.0,-5.0,-4.0,2.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-02-25,-3.0,2.0,-1.0,-2.0,-3.0,2.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-02-26,-4.0,0.0,-2.0,-1.0,-1.0,2.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-02-27,-1.0,6.0,2.0,0.0,0.0,2.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-02-28,4.0,12.0,1.0,-1.0,1.0,1.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-02-29,13.0,18.0,-1.0,6.0,-1.0,0.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-01,19.0,29.0,1.0,10.0,0.0,2.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-02,8.0,20.0,4.0,5.0,10.0,0.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-03,9.0,21.0,3.0,6.0,11.0,0.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-04,5.0,15.0,7.0,9.0,12.0,0.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-05,5.0,14.0,9.0,9.0,13.0,0.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-06,1.0,12.0,10.0,6.0,14.0,0.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-07,12.0,15.0,7.0,6.0,3.0,2.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-08,17.0,16.0,49.0,21.0,-3.0,4.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-09,1.0,12.0,17.0,9.0,14.0,0.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-10,3.0,11.0,7.0,12.0,16.0,-2.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-11,-3.0,6.0,10.0,12.0,14.0,0.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-12,0.0,10.0,5.0,10.0,15.0,-1.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-13,0.0,15.0,5.0,6.0,15.0,0.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-14,6.0,19.0,6.0,3.0,3.0,3.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-15,-3.0,30.0,-5.0,-4.0,-3.0,5.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-16,-17.0,31.0,-18.0,-16.0,0.0,8.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-17,-29.0,14.0,-28.0,-28.0,-15.0,13.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-18,-35.0,12.0,-33.0,-33.0,-22.0,16.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-19,-50.0,-6.0,-39.0,-43.0,-31.0,21.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-20,-54.0,-11.0,-46.0,-48.0,-34.0,25.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-21,-62.0,-21.0,-53.0,-50.0,-34.0,22.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-22,-70.0,-36.0,-59.0,-56.0,-41.0,21.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-23,-62.0,-30.0,-52.0,-56.0,-44.0,27.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-24,-62.0,-30.0,-54.0,-59.0,-47.0,27.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-25,-62.0,-28.0,-52.0,-58.0,-47.0,28.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-26,-56.0,-14.0,-46.0,-54.0,-46.0,26.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-27,-72.0,-40.0,-65.0,-68.0,-59.0,36.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-28,-71.0,-38.0,-61.0,-62.0,-49.0,27.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-29,-74.0,-48.0,-62.0,-62.0,-47.0,23.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-30,-67.0,-35.0,-58.0,-66.0,-59.0,31.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-03-31,-64.0,-27.0,-53.0,-62.0,-59.0,29.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-01,-64.0,-27.0,-54.0,-62.0,-59.0,30.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-02,-65.0,-29.0,-55.0,-63.0,-59.0,31.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-03,-65.0,-29.0,-58.0,-62.0,-57.0,33.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-04,-66.0,-30.0,-57.0,-56.0,-47.0,24.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-05,-68.0,-39.0,-58.0,-56.0,-46.0,20.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-06,-64.0,-32.0,-56.0,-63.0,-57.0,28.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-07,-63.0,-27.0,-56.0,-61.0,-57.0,27.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-08,-64.0,-29.0,-56.0,-62.0,-57.0,27.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-09,-62.0,-21.0,-53.0,-60.0,-58.0,27.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-10,-83.0,-49.0,-73.0,-78.0,-82.0,42.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-11,-75.0,-43.0,-64.0,-66.0,-59.0,27.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-12,-76.0,-52.0,-72.0,-70.0,-50.0,21.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-13,-63.0,-34.0,-55.0,-62.0,-54.0,27.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-14,-62.0,-31.0,-55.0,-61.0,-54.0,26.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-15,-62.0,-31.0,-54.0,-60.0,-54.0,27.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-16,-63.0,-29.0,-54.0,-61.0,-54.0,28.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-17,-63.0,-30.0,-57.0,-61.0,-53.0,32.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-18,-64.0,-33.0,-55.0,-55.0,-40.0,22.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-19,-67.0,-40.0,-58.0,-58.0,-42.0,19.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-20,-62.0,-35.0,-53.0,-60.0,-51.0,26.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-21,-62.0,-32.0,-54.0,-59.0,-51.0,25.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-22,-62.0,-33.0,-53.0,-59.0,-51.0,25.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-23,-62.0,-32.0,-54.0,-59.0,-51.0,26.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-24,-64.0,-35.0,-58.0,-61.0,-51.0,30.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-25,-62.0,-32.0,-53.0,-54.0,-39.0,21.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-26,-65.0,-39.0,-58.0,-58.0,-40.0,18.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-27,-61.0,-35.0,-53.0,-60.0,-48.0,26.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-28,-61.0,-33.0,-52.0,-58.0,-50.0,19.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-29,-59.0,-31.0,-51.0,-57.0,-49.0,24.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-04-30,-53.0,-16.0,-45.0,-52.0,-49.0,22.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-01,-83.0,-77.0,-66.0,-75.0,-83.0,41.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-02,-56.0,-19.0,-48.0,-51.0,-42.0,21.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-03,-60.0,-29.0,-54.0,-54.0,-37.0,18.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-04,-56.0,-23.0,-47.0,-56.0,-47.0,24.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-05,-55.0,-21.0,-47.0,-54.0,-48.0,23.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-06,-58.0,-26.0,-48.0,-57.0,-50.0,25.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-07,-57.0,-21.0,-47.0,-55.0,-49.0,26.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-08,-58.0,-23.0,-50.0,-55.0,-49.0,27.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-09,-66.0,-35.0,-56.0,-63.0,-43.0,25.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-10,-68.0,-40.0,-62.0,-63.0,-38.0,20.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-11,-67.0,-42.0,-59.0,-67.0,-54.0,30.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-12,-66.0,-38.0,-60.0,-66.0,-55.0,29.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-13,-64.0,-32.0,-57.0,-65.0,-54.0,29.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-14,-63.0,-28.0,-55.0,-63.0,-55.0,27.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-15,-63.0,-27.0,-56.0,-62.0,-55.0,32.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-16,-79.0,-55.0,-71.0,-71.0,-53.0,29.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-17,-79.0,-57.0,-73.0,-73.0,-49.0,25.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-18,-75.0,-51.0,-70.0,-73.0,-63.0,34.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-19,-73.0,-46.0,-70.0,-72.0,-63.0,33.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-20,-73.0,-45.0,-70.0,-72.0,-63.0,33.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-21,-83.0,-55.0,-77.0,-81.0,-82.0,42.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-22,-73.0,-42.0,-69.0,-71.0,-64.0,38.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-23,-74.0,-44.0,-67.0,-67.0,-49.0,28.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-24,-76.0,-51.0,-69.0,-69.0,-45.0,24.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-25,-70.0,-42.0,-65.0,-70.0,-61.0,33.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-26,-71.0,-42.0,-66.0,-69.0,-61.0,32.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-27,-71.0,-45.0,-67.0,-70.0,-61.0,33.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-28,-71.0,-42.0,-66.0,-70.0,-61.0,34.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-29,-71.0,-39.0,-67.0,-69.0,-60.0,38.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-30,-71.0,-39.0,-64.0,-63.0,-45.0,27.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-05-31,-72.0,-45.0,-67.0,-65.0,-41.0,23.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-01,-69.0,-38.0,-64.0,-68.0,-60.0,32.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-02,-69.0,-38.0,-66.0,-68.0,-61.0,32.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-03,-71.0,-42.0,-66.0,-69.0,-61.0,33.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-04,-70.0,-40.0,-65.0,-68.0,-61.0,34.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-05,-70.0,-39.0,-66.0,-68.0,-60.0,37.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-06,-71.0,-41.0,-64.0,-63.0,-44.0,27.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-07,-73.0,-47.0,-68.0,-66.0,-41.0,23.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-08,-70.0,-44.0,-66.0,-69.0,-60.0,33.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-09,-70.0,-42.0,-65.0,-68.0,-60.0,32.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-10,-69.0,-43.0,-63.0,-69.0,-60.0,33.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-11,-69.0,-40.0,-64.0,-69.0,-60.0,33.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-12,-73.0,-46.0,-71.0,-72.0,-61.0,38.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-13,-71.0,-42.0,-64.0,-64.0,-43.0,27.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-14,-73.0,-48.0,-67.0,-66.0,-39.0,23.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-15,-69.0,-44.0,-65.0,-69.0,-59.0,32.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-16,-68.0,-39.0,-65.0,-67.0,-60.0,32.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-17,-73.0,-47.0,-72.0,-71.0,-62.0,34.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-18,-70.0,-41.0,-66.0,-69.0,-60.0,34.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-19,-71.0,-41.0,-68.0,-69.0,-60.0,36.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-20,-71.0,-39.0,-65.0,-64.0,-42.0,27.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-21,-75.0,-49.0,-70.0,-67.0,-36.0,23.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-22,-74.0,-53.0,-72.0,-72.0,-62.0,34.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-23,-72.0,-49.0,-69.0,-71.0,-62.0,33.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-24,-72.0,-49.0,-67.0,-70.0,-61.0,33.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-25,-71.0,-45.0,-66.0,-69.0,-60.0,34.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-26,-71.0,-44.0,-67.0,-69.0,-59.0,37.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-27,-71.0,-43.0,-66.0,-63.0,-42.0,27.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-28,-73.0,-48.0,-69.0,-66.0,-39.0,23.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-29,-86.0,-65.0,-84.0,-85.0,-83.0,42.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-06-30,-67.0,-39.0,-65.0,-66.0,-59.0,31.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-01,-69.0,-43.0,-67.0,-69.0,-60.0,33.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-02,-67.0,-38.0,-63.0,-66.0,-59.0,33.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-03,-67.0,-36.0,-64.0,-66.0,-57.0,35.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-04,-78.0,-54.0,-80.0,-74.0,-49.0,30.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-05,-70.0,-39.0,-64.0,-61.0,-35.0,23.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-06,-66.0,-39.0,-63.0,-66.0,-58.0,32.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-07,-66.0,-37.0,-63.0,-65.0,-59.0,31.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-08,-68.0,-43.0,-65.0,-67.0,-59.0,32.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-09,-68.0,-41.0,-63.0,-66.0,-58.0,32.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-10,-69.0,-42.0,-66.0,-67.0,-57.0,36.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-11,-69.0,-40.0,-65.0,-63.0,-39.0,26.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-12,-72.0,-47.0,-66.0,-65.0,-35.0,22.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-13,-67.0,-43.0,-62.0,-67.0,-57.0,31.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-14,-66.0,-41.0,-62.0,-65.0,-57.0,30.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-15,-65.0,-38.0,-60.0,-64.0,-56.0,30.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-16,-77.0,-47.0,-73.0,-76.0,-77.0,39.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-17,-68.0,-39.0,-65.0,-67.0,-58.0,36.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-18,-69.0,-40.0,-63.0,-62.0,-39.0,26.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-19,-72.0,-47.0,-64.0,-65.0,-34.0,22.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-20,-65.0,-40.0,-60.0,-65.0,-56.0,30.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-21,-71.0,-50.0,-73.0,-71.0,-59.0,32.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-22,-66.0,-41.0,-61.0,-65.0,-55.0,30.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-23,-67.0,-41.0,-62.0,-66.0,-56.0,31.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-24,-67.0,-39.0,-62.0,-65.0,-54.0,34.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-25,-68.0,-38.0,-61.0,-61.0,-36.0,25.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-26,-71.0,-46.0,-65.0,-63.0,-32.0,22.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-27,-66.0,-43.0,-61.0,-65.0,-55.0,30.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-28,-63.0,-36.0,-54.0,-63.0,-54.0,29.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-29,-61.0,-35.0,-53.0,-62.0,-54.0,29.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-30,-62.0,-33.0,-55.0,-62.0,-54.0,29.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-07-31,-61.0,-29.0,-55.0,-61.0,-52.0,32.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-08-01,-63.0,-27.0,-56.0,-55.0,-33.0,23.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-08-02,-64.0,-33.0,-55.0,-55.0,-26.0,19.0
CL-RM,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,2020-08-03,-59.0,-29.0,-52.0,-62.0,-53.0,28.0
