open_covid_region_code,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
LTU,LT,Lithuania,,,,,,2020-02-15,2.0,4.0,44.0,9.0,1,-1.0
LTU,LT,Lithuania,,,,,,2020-02-16,9.0,2.0,29.0,14.0,1,-2.0
LTU,LT,Lithuania,,,,,,2020-02-17,2.0,0.0,15.0,0.0,-14,3.0
LTU,LT,Lithuania,,,,,,2020-02-18,3.0,2.0,12.0,0.0,-13,3.0
LTU,LT,Lithuania,,,,,,2020-02-19,3.0,0.0,18.0,-1.0,-14,2.0
LTU,LT,Lithuania,,,,,,2020-02-20,2.0,2.0,17.0,2.0,-15,2.0
LTU,LT,Lithuania,,,,,,2020-02-21,-3.0,1.0,7.0,-1.0,-15,3.0
LTU,LT,Lithuania,,,,,,2020-02-22,-6.0,-2.0,-11.0,1.0,-1,0.0
LTU,LT,Lithuania,,,,,,2020-02-23,0.0,2.0,8.0,1.0,1,-1.0
LTU,LT,Lithuania,,,,,,2020-02-24,3.0,5.0,18.0,4.0,2,0.0
LTU,LT,Lithuania,,,,,,2020-02-25,-2.0,2.0,-5.0,3.0,3,0.0
LTU,LT,Lithuania,,,,,,2020-02-26,2.0,5.0,15.0,3.0,3,0.0
LTU,LT,Lithuania,,,,,,2020-02-27,-2.0,5.0,-11.0,0.0,1,1.0
LTU,LT,Lithuania,,,,,,2020-02-28,-4.0,8.0,2.0,-2.0,2,1.0
LTU,LT,Lithuania,,,,,,2020-02-29,-8.0,0.0,15.0,-2.0,2,1.0
LTU,LT,Lithuania,,,,,,2020-03-01,-4.0,-1.0,30.0,0.0,2,0.0
LTU,LT,Lithuania,,,,,,2020-03-02,-2.0,-1.0,24.0,2.0,2,1.0
LTU,LT,Lithuania,,,,,,2020-03-03,1.0,1.0,15.0,1.0,3,0.0
LTU,LT,Lithuania,,,,,,2020-03-04,-2.0,1.0,9.0,-2.0,2,1.0
LTU,LT,Lithuania,,,,,,2020-03-05,-1.0,1.0,19.0,2.0,2,0.0
LTU,LT,Lithuania,,,,,,2020-03-06,1.0,6.0,46.0,8.0,3,-1.0
LTU,LT,Lithuania,,,,,,2020-03-07,1.0,7.0,21.0,5.0,2,0.0
LTU,LT,Lithuania,,,,,,2020-03-08,13.0,18.0,58.0,13.0,6,-2.0
LTU,LT,Lithuania,,,,,,2020-03-09,0.0,1.0,30.0,1.0,1,0.0
LTU,LT,Lithuania,,,,,,2020-03-10,14.0,17.0,40.0,9.0,1,-2.0
LTU,LT,Lithuania,,,,,,2020-03-11,-14.0,-10.0,44.0,-32.0,-73,20.0
LTU,LT,Lithuania,,,,,,2020-03-12,-5.0,11.0,-10.0,-6.0,-1,1.0
LTU,LT,Lithuania,,,,,,2020-03-13,-16.0,9.0,8.0,-18.0,-18,7.0
LTU,LT,Lithuania,,,,,,2020-03-14,-28.0,1.0,-15.0,-27.0,-8,6.0
LTU,LT,Lithuania,,,,,,2020-03-15,-13.0,13.0,51.0,-19.0,-3,2.0
LTU,LT,Lithuania,,,,,,2020-03-16,-46.0,-18.0,5.0,-42.0,-36,15.0
LTU,LT,Lithuania,,,,,,2020-03-17,-50.0,-23.0,48.0,-44.0,-45,17.0
LTU,LT,Lithuania,,,,,,2020-03-18,-54.0,-27.0,41.0,-48.0,-48,19.0
LTU,LT,Lithuania,,,,,,2020-03-19,-55.0,-27.0,30.0,-51.0,-49,19.0
LTU,LT,Lithuania,,,,,,2020-03-20,-62.0,-13.0,25.0,-52.0,-48,21.0
LTU,LT,Lithuania,,,,,,2020-03-21,-69.0,-25.0,0.0,-54.0,-35,13.0
LTU,LT,Lithuania,,,,,,2020-03-22,-68.0,-27.0,7.0,-55.0,-31,10.0
LTU,LT,Lithuania,,,,,,2020-03-23,-62.0,-22.0,25.0,-54.0,-50,20.0
LTU,LT,Lithuania,,,,,,2020-03-24,-63.0,-23.0,28.0,-55.0,-52,21.0
LTU,LT,Lithuania,,,,,,2020-03-25,-64.0,-25.0,37.0,-55.0,-53,21.0
LTU,LT,Lithuania,,,,,,2020-03-26,-64.0,-27.0,36.0,-55.0,-53,21.0
LTU,LT,Lithuania,,,,,,2020-03-27,-64.0,-23.0,43.0,-55.0,-52,22.0
LTU,LT,Lithuania,,,,,,2020-03-28,-67.0,-27.0,62.0,-46.0,-34,9.0
LTU,LT,Lithuania,,,,,,2020-03-29,-72.0,-38.0,-28.0,-63.0,-33,11.0
LTU,LT,Lithuania,,,,,,2020-03-30,-64.0,-29.0,3.0,-60.0,-53,22.0
LTU,LT,Lithuania,,,,,,2020-03-31,-63.0,-26.0,7.0,-58.0,-53,22.0
LTU,LT,Lithuania,,,,,,2020-04-01,-66.0,-31.0,-19.0,-62.0,-54,23.0
LTU,LT,Lithuania,,,,,,2020-04-02,-66.0,-30.0,-20.0,-62.0,-55,24.0
LTU,LT,Lithuania,,,,,,2020-04-03,-65.0,-24.0,-11.0,-60.0,-53,24.0
LTU,LT,Lithuania,,,,,,2020-04-04,-67.0,-27.0,3.0,-54.0,-34,13.0
LTU,LT,Lithuania,,,,,,2020-04-05,-63.0,-26.0,63.0,-49.0,-28,8.0
LTU,LT,Lithuania,,,,,,2020-04-06,-58.0,-24.0,74.0,-51.0,-52,19.0
LTU,LT,Lithuania,,,,,,2020-04-07,-56.0,-14.0,87.0,-49.0,-53,18.0
LTU,LT,Lithuania,,,,,,2020-04-08,-56.0,-12.0,75.0,-50.0,-53,18.0
LTU,LT,Lithuania,,,,,,2020-04-09,-53.0,-1.0,17.0,-53.0,-53,19.0
LTU,LT,Lithuania,,,,,,2020-04-10,-56.0,0.0,22.0,-53.0,-53,21.0
LTU,LT,Lithuania,,,,,,2020-04-11,-69.0,-22.0,-13.0,-59.0,-39,16.0
LTU,LT,Lithuania,,,,,,2020-04-12,-90.0,-89.0,-12.0,-67.0,-47,14.0
LTU,LT,Lithuania,,,,,,2020-04-13,-80.0,-53.0,2.0,-76.0,-88,32.0
LTU,LT,Lithuania,,,,,,2020-04-14,-61.0,-24.0,-4.0,-59.0,-53,21.0
LTU,LT,Lithuania,,,,,,2020-04-15,-61.0,-20.0,-2.0,-59.0,-54,22.0
LTU,LT,Lithuania,,,,,,2020-04-16,-57.0,-18.0,2.0,-56.0,-53,22.0
LTU,LT,Lithuania,,,,,,2020-04-17,-54.0,-10.0,21.0,-53.0,-50,21.0
LTU,LT,Lithuania,,,,,,2020-04-18,-58.0,-24.0,22.0,-47.0,-26,9.0
LTU,LT,Lithuania,,,,,,2020-04-19,-58.0,-32.0,30.0,-49.0,-25,8.0
LTU,LT,Lithuania,,,,,,2020-04-20,-51.0,-25.0,39.0,-54.0,-50,19.0
LTU,LT,Lithuania,,,,,,2020-04-21,-50.0,-20.0,70.0,-50.0,-49,17.0
LTU,LT,Lithuania,,,,,,2020-04-22,-49.0,-19.0,89.0,-49.0,-49,16.0
LTU,LT,Lithuania,,,,,,2020-04-23,-48.0,-18.0,69.0,-47.0,-49,16.0
LTU,LT,Lithuania,,,,,,2020-04-24,-48.0,-13.0,67.0,-47.0,-47,16.0
LTU,LT,Lithuania,,,,,,2020-04-25,-49.0,-16.0,46.0,-37.0,-21,5.0
LTU,LT,Lithuania,,,,,,2020-04-26,-47.0,-20.0,56.0,-39.0,-17,4.0
LTU,LT,Lithuania,,,,,,2020-04-27,-40.0,-16.0,75.0,-45.0,-45,15.0
LTU,LT,Lithuania,,,,,,2020-04-28,-40.0,-13.0,64.0,-45.0,-45,14.0
LTU,LT,Lithuania,,,,,,2020-04-29,-39.0,-11.0,52.0,-44.0,-45,16.0
LTU,LT,Lithuania,,,,,,2020-04-30,-30.0,1.0,84.0,-35.0,-44,12.0
LTU,LT,Lithuania,,,,,,2020-05-01,-49.0,-15.0,136.0,-47.0,-76,18.0
LTU,LT,Lithuania,,,,,,2020-05-02,-43.0,-9.0,35.0,-36.0,-21,5.0
LTU,LT,Lithuania,,,,,,2020-05-03,-35.0,4.0,80.0,-23.0,-6,-2.0
LTU,LT,Lithuania,,,,,,2020-05-04,-38.0,-17.0,81.0,-44.0,-42,14.0
LTU,LT,Lithuania,,,,,,2020-05-05,-36.0,-10.0,79.0,-41.0,-42,13.0
LTU,LT,Lithuania,,,,,,2020-05-06,-37.0,-8.0,49.0,-44.0,-42,15.0
LTU,LT,Lithuania,,,,,,2020-05-07,-36.0,-7.0,61.0,-41.0,-41,14.0
LTU,LT,Lithuania,,,,,,2020-05-08,-35.0,0.0,92.0,-35.0,-39,12.0
LTU,LT,Lithuania,,,,,,2020-05-09,-35.0,2.0,109.0,-23.0,-6,-1.0
LTU,LT,Lithuania,,,,,,2020-05-10,-28.0,4.0,164.0,-20.0,1,-4.0
LTU,LT,Lithuania,,,,,,2020-05-11,-35.0,-6.0,18.0,-44.0,-40,14.0
LTU,LT,Lithuania,,,,,,2020-05-12,-35.0,-2.0,23.0,-43.0,-40,15.0
LTU,LT,Lithuania,,,,,,2020-05-13,-36.0,-4.0,18.0,-42.0,-39,15.0
LTU,LT,Lithuania,,,,,,2020-05-14,-32.0,-1.0,51.0,-36.0,-38,12.0
LTU,LT,Lithuania,,,,,,2020-05-15,-34.0,7.0,65.0,-32.0,-36,11.0
LTU,LT,Lithuania,,,,,,2020-05-16,-37.0,7.0,31.0,-29.0,-7,3.0
LTU,LT,Lithuania,,,,,,2020-05-17,-38.0,4.0,30.0,-35.0,-3,2.0
LTU,LT,Lithuania,,,,,,2020-05-18,-29.0,1.0,53.0,-37.0,-35,12.0
LTU,LT,Lithuania,,,,,,2020-05-19,-29.0,4.0,41.0,-36.0,-34,12.0
LTU,LT,Lithuania,,,,,,2020-05-20,-26.0,8.0,80.0,-30.0,-34,10.0
LTU,LT,Lithuania,,,,,,2020-05-21,-29.0,6.0,34.0,-34.0,-35,11.0
LTU,LT,Lithuania,,,,,,2020-05-22,-32.0,14.0,89.0,-28.0,-31,8.0
LTU,LT,Lithuania,,,,,,2020-05-23,-32.0,15.0,144.0,-13.0,5,-4.0
LTU,LT,Lithuania,,,,,,2020-05-24,-37.0,10.0,39.0,-33.0,1,-1.0
LTU,LT,Lithuania,,,,,,2020-05-25,-28.0,9.0,95.0,-30.0,-33,9.0
LTU,LT,Lithuania,,,,,,2020-05-26,-27.0,12.0,111.0,-27.0,-30,8.0
LTU,LT,Lithuania,,,,,,2020-05-27,-25.0,14.0,126.0,-25.0,-30,7.0
LTU,LT,Lithuania,,,,,,2020-05-28,-26.0,15.0,82.0,-25.0,-30,8.0
LTU,LT,Lithuania,,,,,,2020-05-29,-29.0,18.0,98.0,-25.0,-28,6.0
LTU,LT,Lithuania,,,,,,2020-05-30,-34.0,14.0,87.0,-21.0,8,-2.0
LTU,LT,Lithuania,,,,,,2020-05-31,-25.0,21.0,153.0,-14.0,18,-6.0
LTU,LT,Lithuania,,,,,,2020-06-01,-21.0,14.0,90.0,-23.0,-27,7.0
LTU,LT,Lithuania,,,,,,2020-06-02,-24.0,15.0,89.0,-23.0,-26,6.0
LTU,LT,Lithuania,,,,,,2020-06-03,-24.0,15.0,79.0,-25.0,-26,7.0
LTU,LT,Lithuania,,,,,,2020-06-04,-22.0,17.0,93.0,-19.0,-26,6.0
LTU,LT,Lithuania,,,,,,2020-06-05,-24.0,20.0,115.0,-18.0,-24,3.0
LTU,LT,Lithuania,,,,,,2020-06-06,-27.0,21.0,126.0,-12.0,11,-5.0
LTU,LT,Lithuania,,,,,,2020-06-07,-27.0,29.0,133.0,-14.0,20,-9.0
LTU,LT,Lithuania,,,,,,2020-06-08,-24.0,11.0,81.0,-24.0,-26,6.0
LTU,LT,Lithuania,,,,,,2020-06-09,-21.0,17.0,95.0,-23.0,-25,5.0
LTU,LT,Lithuania,,,,,,2020-06-10,-17.0,21.0,128.0,-18.0,-25,4.0
LTU,LT,Lithuania,,,,,,2020-06-11,-17.0,23.0,124.0,-16.0,-25,3.0
LTU,LT,Lithuania,,,,,,2020-06-12,-20.0,25.0,159.0,-14.0,-24,0.0
LTU,LT,Lithuania,,,,,,2020-06-13,-26.0,18.0,154.0,-10.0,12,-7.0
LTU,LT,Lithuania,,,,,,2020-06-14,-25.0,18.0,107.0,-17.0,16,-7.0
LTU,LT,Lithuania,,,,,,2020-06-15,-15.0,19.0,120.0,-17.0,-25,3.0
LTU,LT,Lithuania,,,,,,2020-06-16,-13.0,24.0,155.0,-12.0,-23,2.0
LTU,LT,Lithuania,,,,,,2020-06-17,-12.0,27.0,177.0,-11.0,-23,1.0
LTU,LT,Lithuania,,,,,,2020-06-18,-14.0,26.0,142.0,-12.0,-24,0.0
LTU,LT,Lithuania,,,,,,2020-06-19,-18.0,27.0,173.0,-12.0,-24,-2.0
LTU,LT,Lithuania,,,,,,2020-06-20,-27.0,19.0,158.0,-13.0,11,-8.0
LTU,LT,Lithuania,,,,,,2020-06-21,-19.0,26.0,172.0,-9.0,19,-10.0
LTU,LT,Lithuania,,,,,,2020-06-22,-7.0,31.0,169.0,-10.0,-28,0.0
LTU,LT,Lithuania,,,,,,2020-06-23,0.0,50.0,246.0,-2.0,-28,-4.0
LTU,LT,Lithuania,,,,,,2020-06-24,-33.0,12.0,330.0,-32.0,-72,7.0
LTU,LT,Lithuania,,,,,,2020-06-25,-15.0,26.0,186.0,-14.0,-30,0.0
LTU,LT,Lithuania,,,,,,2020-06-26,-21.0,24.0,214.0,-14.0,-29,-1.0
LTU,LT,Lithuania,,,,,,2020-06-27,-31.0,14.0,170.0,-17.0,5,-8.0
LTU,LT,Lithuania,,,,,,2020-06-28,-20.0,24.0,193.0,-10.0,18,-11.0
LTU,LT,Lithuania,,,,,,2020-06-29,-10.0,27.0,133.0,-12.0,-25,1.0
LTU,LT,Lithuania,,,,,,2020-06-30,-10.0,27.0,114.0,-13.0,-25,2.0
LTU,LT,Lithuania,,,,,,2020-07-01,-10.0,24.0,132.0,-12.0,-25,1.0
LTU,LT,Lithuania,,,,,,2020-07-02,-11.0,25.0,125.0,-10.0,-26,1.0
LTU,LT,Lithuania,,,,,,2020-07-03,-17.0,25.0,152.0,-11.0,-25,-1.0
LTU,LT,Lithuania,,,,,,2020-07-04,-22.0,20.0,207.0,-6.0,7,-10.0
LTU,LT,Lithuania,,,,,,2020-07-05,-15.0,22.0,218.0,-9.0,11,-9.0
LTU,LT,Lithuania,,,,,,2020-07-06,-29.0,6.0,282.0,-32.0,-75,8.0
LTU,LT,Lithuania,,,,,,2020-07-07,-10.0,28.0,130.0,-11.0,-29,1.0
LTU,LT,Lithuania,,,,,,2020-07-08,-11.0,24.0,122.0,-14.0,-28,2.0
LTU,LT,Lithuania,,,,,,2020-07-09,-10.0,24.0,132.0,-9.0,-28,1.0
LTU,LT,Lithuania,,,,,,2020-07-10,-15.0,26.0,124.0,-11.0,-27,1.0
LTU,LT,Lithuania,,,,,,2020-07-11,-19.0,20.0,136.0,-6.0,8,-6.0
LTU,LT,Lithuania,,,,,,2020-07-12,-12.0,27.0,169.0,-4.0,16,-9.0
LTU,LT,Lithuania,,,,,,2020-07-13,-5.0,28.0,164.0,-9.0,-30,1.0
LTU,LT,Lithuania,,,,,,2020-07-14,-5.0,30.0,190.0,-5.0,-30,0.0
LTU,LT,Lithuania,,,,,,2020-07-15,-4.0,31.0,224.0,-5.0,-29,-1.0
LTU,LT,Lithuania,,,,,,2020-07-16,-7.0,30.0,195.0,-3.0,-30,-1.0
LTU,LT,Lithuania,,,,,,2020-07-17,-14.0,28.0,232.0,-4.0,-29,-3.0
LTU,LT,Lithuania,,,,,,2020-07-18,-21.0,19.0,247.0,1.0,5,-11.0
LTU,LT,Lithuania,,,,,,2020-07-19,-15.0,28.0,251.0,2.0,14,-14.0
LTU,LT,Lithuania,,,,,,2020-07-20,-7.0,31.0,228.0,-7.0,-33,0.0
LTU,LT,Lithuania,,,,,,2020-07-21,-6.0,30.0,161.0,-8.0,-32,1.0
LTU,LT,Lithuania,,,,,,2020-07-22,-8.0,27.0,127.0,-11.0,-31,3.0
LTU,LT,Lithuania,,,,,,2020-07-23,-8.0,26.0,128.0,-8.0,-31,2.0
LTU,LT,Lithuania,,,,,,2020-07-24,-15.0,26.0,155.0,-7.0,-30,0.0
LTU,LT,Lithuania,,,,,,2020-07-25,-18.0,20.0,210.0,8.0,4,-8.0
LTU,LT,Lithuania,,,,,,2020-07-26,-11.0,29.0,259.0,7.0,14,-12.0
LTU,LT,Lithuania,,,,,,2020-07-27,-7.0,29.0,205.0,-9.0,-33,1.0
LTU,LT,Lithuania,,,,,,2020-07-28,-8.0,28.0,206.0,-7.0,-31,1.0
LTU,LT,Lithuania,,,,,,2020-07-29,-7.0,29.0,183.0,-9.0,-31,1.0
LTU,LT,Lithuania,,,,,,2020-07-30,-10.0,26.0,115.0,-11.0,-33,2.0
LTU,LT,Lithuania,,,,,,2020-07-31,-16.0,25.0,128.0,-13.0,-32,2.0
LTU,LT,Lithuania,,,,,,2020-08-01,-22.0,15.0,193.0,-2.0,4,-7.0
LTU,LT,Lithuania,,,,,,2020-08-02,-13.0,24.0,247.0,1.0,14,-11.0
LTU,LT,Lithuania,,,,,,2020-08-03,-10.0,24.0,184.0,-10.0,-32,2.0
LTU,LT,Lithuania,,,,,,2020-08-04,-12.0,23.0,127.0,-13.0,-32,3.0
LTU,LT,Lithuania,,,,,,2020-08-05,-7.0,28.0,221.0,-7.0,-31,1.0
LTU,LT,Lithuania,,,,,,2020-08-06,-8.0,27.0,226.0,-2.0,-32,-1.0
LTU,LT,Lithuania,,,,,,2020-08-07,-16.0,25.0,262.0,-5.0,-32,-3.0
LTU,LT,Lithuania,,,,,,2020-08-08,-24.0,16.0,259.0,-1.0,1,-11.0
LTU,LT,Lithuania,,,,,,2020-08-09,-16.0,24.0,252.0,0.0,10,-14.0
LTU,LT,Lithuania,,,,,,2020-08-10,-6.0,30.0,235.0,-8.0,-33,0.0
LTU,LT,Lithuania,,,,,,2020-08-11,-5.0,31.0,219.0,-4.0,-32,-1.0
LTU,LT,Lithuania,,,,,,2020-08-12,-4.0,30.0,216.0,-5.0,-32,0.0
LTU,LT,Lithuania,,,,,,2020-08-13,-7.0,28.0,195.0,-3.0,-32,0.0
LTU,LT,Lithuania,,,,,,2020-08-14,-14.0,28.0,226.0,-3.0,-32,-2.0
LTU,LT,Lithuania,,,,,,2020-08-15,-25.0,17.0,247.0,2.0,-6,-10.0
LTU,LT,Lithuania,,,,,,2020-08-16,-16.0,25.0,258.0,4.0,9,-14.0
LTU,LT,Lithuania,,,,,,2020-08-17,-8.0,30.0,241.0,-6.0,-33,0.0
LTU,LT,Lithuania,,,,,,2020-08-18,-7.0,30.0,198.0,-5.0,-31,0.0
LTU,LT,Lithuania,,,,,,2020-08-19,-7.0,30.0,218.0,-6.0,-31,0.0
LTU,LT,Lithuania,,,,,,2020-08-20,-8.0,26.0,188.0,-5.0,-32,0.0
LTU,LT,Lithuania,,,,,,2020-08-21,-15.0,27.0,230.0,-6.0,-31,-2.0
LTU,LT,Lithuania,,,,,,2020-08-22,-21.0,18.0,201.0,-5.0,1,-8.0
LTU,LT,Lithuania,,,,,,2020-08-23,-13.0,26.0,189.0,5.0,7,-10.0
LTU,LT,Lithuania,,,,,,2020-08-24,-7.0,29.0,179.0,-6.0,-30,1.0
LTU,LT,Lithuania,,,,,,2020-08-25,-8.0,30.0,136.0,-7.0,-29,2.0
LTU,LT,Lithuania,,,,,,2020-08-26,-9.0,29.0,127.0,-10.0,-28,2.0
LTU,LT,Lithuania,,,,,,2020-08-27,-9.0,29.0,130.0,-5.0,-29,2.0
LTU,LT,Lithuania,,,,,,2020-08-28,-13.0,27.0,201.0,-4.0,-27,-1.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-02-15,10.0,6.0,5.0,,4,
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-02-16,14.0,7.0,25.0,,8,
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-02-17,9.0,6.0,16.0,,-14,3.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-02-18,9.0,10.0,21.0,,-14,2.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-02-19,9.0,10.0,22.0,,-14,1.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-02-20,10.0,6.0,17.0,,-16,2.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-02-21,5.0,2.0,9.0,,-16,3.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-02-22,5.0,3.0,4.0,,0,
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-02-23,7.0,2.0,7.0,,0,
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-02-24,3.0,8.0,7.0,,1,0.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-02-25,-2.0,1.0,-9.0,,2,0.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-02-26,0.0,2.0,12.0,,2,0.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-02-27,5.0,1.0,-9.0,,0,0.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-02-28,2.0,4.0,2.0,,1,1.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-02-29,0.0,2.0,11.0,,4,
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-01,3.0,0.0,16.0,,8,
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-02,-1.0,-4.0,13.0,,3,0.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-03,-1.0,3.0,19.0,,2,0.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-04,3.0,0.0,10.0,,2,1.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-05,2.0,1.0,17.0,,2,0.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-06,6.0,1.0,23.0,,1,0.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-07,4.0,8.0,10.0,,4,
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-08,23.0,18.0,17.0,,12,
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-09,2.0,1.0,25.0,,1,0.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-10,18.0,20.0,38.0,,1,-3.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-11,-11.0,-9.0,42.0,,-71,18.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-12,3.0,9.0,-7.0,,-1,1.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-13,-3.0,5.0,25.0,,-17,5.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-14,-17.0,1.0,-8.0,,-3,
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-15,1.0,17.0,28.0,,2,
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-16,-41.0,-18.0,12.0,,-32,12.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-17,-45.0,-27.0,50.0,,-40,13.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-18,-46.0,-26.0,72.0,,-42,14.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-19,-50.0,-29.0,30.0,,-45,16.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-20,-59.0,-12.0,36.0,,-44,16.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-21,-68.0,-24.0,5.0,,-38,
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-22,-65.0,-25.0,5.0,,-31,
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-23,-61.0,-18.0,32.0,,-44,16.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-24,-61.0,-22.0,36.0,,-46,17.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-25,-62.0,-28.0,44.0,,-46,16.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-26,-63.0,-27.0,47.0,,-47,16.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-27,-64.0,-28.0,50.0,-42.0,-47,17.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-28,-68.0,-33.0,59.0,,-36,
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-29,-71.0,-36.0,0.0,-70.0,-32,
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-30,-64.0,-26.0,14.0,,-47,18.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-03-31,-63.0,-29.0,20.0,,-47,18.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-04-01,-67.0,-30.0,2.0,,-48,19.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-04-02,-65.0,-33.0,4.0,,-49,19.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-04-03,-63.0,-30.0,-1.0,-64.0,-49,21.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-04-04,-68.0,-35.0,4.0,,-38,
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-04-05,-62.0,-25.0,66.0,,-26,
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-04-06,-57.0,-24.0,76.0,,-46,15.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-04-07,-55.0,-16.0,98.0,,-47,13.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-04-08,-53.0,-11.0,85.0,,-48,14.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-04-09,-47.0,7.0,42.0,,-48,15.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-04-10,-53.0,-5.0,40.0,-44.0,-49,18.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-04-11,-71.0,-34.0,-4.0,-65.0,-41,
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-04-12,-90.0,-93.0,16.0,-73.0,-42,
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-04-13,-81.0,-59.0,18.0,,-86,
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-04-14,-59.0,-24.0,18.0,,-49,17.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-04-15,-62.0,-24.0,-1.0,,-48,20.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-04-16,-53.0,-18.0,16.0,,-48,19.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-04-17,-51.0,-14.0,38.0,-42.0,-45,17.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-04-18,-58.0,-24.0,23.0,,-31,
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-04-19,-54.0,-32.0,34.0,,-21,
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-04-20,-47.0,-12.0,49.0,,-45,15.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-04-21,-45.0,-9.0,82.0,,-44,13.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-04-22,-45.0,-11.0,93.0,,-43,12.0
LT-AL,LT,Lithuania,Alytus County,,,LT-AL,,2020-04-23,-43.0,-6.0,80.0,,-44,13.0
